PUA	正规字符	注释
	€	GB 18030-2000 新增 GBK 没有的欧元符号 U+20AC，置于 0xA2E3；GBK 中 0xA2E3 映射至 U+E76C。
	︐	GB 18030-2000 引入，GB 18030-2022 调整映射。
	︒	GB 18030-2000 引入，GB 18030-2022 调整映射。
	︑	GB 18030-2000 引入，GB 18030-2022 调整映射。
	︓	GB 18030-2000 引入，GB 18030-2022 调整映射。
	︔	GB 18030-2000 引入，GB 18030-2022 调整映射。
	︕	GB 18030-2000 引入，GB 18030-2022 调整映射。
	︖	GB 18030-2000 引入，GB 18030-2022 调整映射。
	︗	GB 18030-2000 引入，GB 18030-2022 调整映射。
	︘	GB 18030-2000 引入，GB 18030-2022 调整映射。
	︙	GB 18030-2000 引入，GB 18030-2022 调整映射。
	ḿ	GBK 引入，GB 18030-2005 调整映射。
	ǹ	GBK 引入，GB 18030-2000 调整映射。
	〾	GBK 引入，GB 18030-2000 调整映射。
	⿰	GBK 引入，GB 18030-2000 调整映射。
	⿱	GBK 引入，GB 18030-2000 调整映射。
	⿲	GBK 引入，GB 18030-2000 调整映射。
	⿳	GBK 引入，GB 18030-2000 调整映射。
	⿴	GBK 引入，GB 18030-2000 调整映射。
	⿵	GBK 引入，GB 18030-2000 调整映射。
	⿶	GBK 引入，GB 18030-2000 调整映射。
	⿷	GBK 引入，GB 18030-2000 调整映射。
	⿸	GBK 引入，GB 18030-2000 调整映射。
	⿹	GBK 引入，GB 18030-2000 调整映射。
	⿺	GBK 引入，GB 18030-2000 调整映射。
	⿻	GBK 引入，GB 18030-2000 调整映射。
	⺁	GBK 引入，GB 18030-2000 调整映射。
	𠂇	GBK 引入，GB 18030-2022 删除重复字。
	𠂉	GBK 引入，GB 18030-2022 删除重复字。
	𠃌	GBK 引入，GB 18030-2022 删除重复字。
	⺄	GBK 引入，GB 18030-2000 调整映射。
	㑳	GBK 引入，GB 18030-2000 调整映射。
	㑇	GBK 引入，GB 18030-2000 调整映射。
	⺈	GBK 引入，GB 18030-2000 调整映射。
	⺋	GBK 引入，GB 18030-2000 调整映射。
	龴	GBK 引入，GB 18030-2022 调整映射。
	㖞	GBK 引入，GB 18030-2000 调整映射。
	㘚	GBK 引入，GB 18030-2000 调整映射。
	㘎	GBK 引入，GB 18030-2000 调整映射。
	⺌	GBK 引入，GB 18030-2000 调整映射。
	⺗	GBK 引入，GB 18030-2000 调整映射。
	㥮	GBK 引入，GB 18030-2000 调整映射。
	㤘	GBK 引入，GB 18030-2000 调整映射。
