表 10　传统蒙古文“窄宽无间断空格”使用方法
固定字符序列	中蒙联合转写
 ᠶᠢᠨ	-yin
 ᠤᠨ	-un
 ᠦᠨ	-ün
 ᠤ	-u
 ᠦ	-ü
 ᠳᠤ	-du
 ᠳᠦ	-dü
 ᠲᠤ	-tu
 ᠲᠦ	-tü
 ᠳᠤᠷ	-dur
 ᠳᠦᠷ	-dür
 ᠲᠤᠷ	-tur
 ᠲᠦᠷ	-tür
 ᠠ	-a
 ᠡ	-e
 ᠳᠠᠭᠠᠨ	-dagan
 ᠳᠡᠭᠡᠨ	-degen
 ᠲᠠᠭᠠᠨ	-tagan
 ᠲᠡᠭᠡᠨ	-tegen
 ᠢ	-i
 ᠶᠢ	-yi
 ᠶᠤᠭᠠᠨ	-yugan
 ᠶᠦᠭᠡᠨ	-yügen
 ᠠᠴᠠ	-ača
 ᠡᠴᠡ	-eče
 ᠠᠴᠠᠭᠠᠨ	-ačagan
 ᠡᠴᠡᠭᠡᠨ	-ečegen
 ᠢᠶᠠᠷ	-iyar
 ᠢᠶᠡᠷ	-iyer
 ᠪᠠᠷ	-bar
 ᠪᠡᠷ	-ber
 ᠲᠠᠶ	-tay
 ᠲᠡᠶ	-tey
 ᠯᠤᠭ᠎ᠠ	-lug_a
 ᠯᠦᠭᠡ	-lüge
 ᠪᠠᠨ	-ban
 ᠪᠡᠨ	-ben
 ᠢᠶᠠᠨ	-iyan
 ᠢᠶᠡᠨ	-iyen
 ᠤᠳ	-ud
 ᠦᠳ	-üd
 ᠨᠠᠷ	-nar
 ᠨᠡᠷ	-ner
 ᠦᠭᠡᠶ	-ügey
