GB/T 15564 区位	字符	注释
12-01	乪
12-02	乸
12-03	佢
12-04	冚
12-05	冧
12-06	劏
12-07	叾
12-08	吔
12-09	吪
12-10	吽
12-11	呥
12-12	咁
12-13	咇
12-14	咗
12-15	哋
12-16	哣
12-17	唂
12-18	唞
12-19	唥
12-20	啋
12-21	啩
12-22	啫
12-23	啱
12-24	啲
12-25	啹
12-26	喐
12-27	喺
12-28	喼
12-29	嗰
12-30	嗱
12-31	嘅
12-32	嘢
12-33	嘥
12-34	噃
12-35	噏
12-36	噚
12-37	嚟
12-38	嚡
12-39	嚤
12-40	嚿
12-41	囖
12-42	埗
12-43	婄
12-44	嫋
12-45	嫲
12-46	孭
12-47	扤
12-48	扱
12-49	扲
12-50	扻
12-51	抌
12-52	捵
12-53	掟
12-54	掹
12-55	揰
12-56	揼
12-57	搲
12-58	擝
12-59	攰
12-60	曱
12-61	氹
12-62	沊
12-63	浭
12-64	淰
12-65	渧
12-66	炆
12-67	烚
12-68	焗
12-69	焾
12-70	煀
12-71	燶
12-72	甴
12-73	癦
12-74	睩
12-75	睺
12-76	瞓
12-77	矋
12-78	罉
12-79	肶
12-80	胵
12-81	脷
12-82	腍
12-83	膶
12-84	舦
12-85	裇
12-86	趷
12-87	跔
12-88	踎
12-89	踭
12-90	躀
12-91	鈪
12-92	餸
12-93	鎅
12-94	鱲
11-01	冇
11-02	嚹
11-03	奀
11-04	孖
11-05	岃
11-06	掗
11-07	掯
11-08	揾
11-09	脌
11-10	膥
11-11	艔
11-12	蠄
11-13	軚
11-14	邨
11-15	鈒
11-16	鯭
11-17	鰂
