GB/T 16500 区位	字符	注释
16-01	丄
16-02	丅
16-03	丒
16-04	丗
16-05	丟
16-06	両
16-07	丣
16-08	丮
16-09	丯
16-10	丵
16-11	丼
16-12	乀
16-13	乄
16-14	乆
16-15	乑
16-16	乕
16-17	乗
16-18	乚
16-19	乢
16-20	乧
16-21	乴
16-22	乵
16-23	乷
16-24	乹
16-25	亀
16-26	亁
16-27	亊
16-28	亐
16-29	亖
16-30	亗
16-31	亙
16-32	亜
16-33	亝
16-34	亣
16-35	亯
16-36	亰
16-37	亱
16-38	亴
16-39	亷
16-40	亼
16-41	亾
16-42	仏
16-43	仐
16-44	仦
16-45	仧
16-46	仩
16-47	仭
16-48	仺
16-49	仼
16-50	仾
16-51	伌
16-52	伒
16-53	伔
16-54	伖
16-55	伜
16-56	伬
16-57	伮
16-58	伱
16-59	佀
16-60	佈
16-61	佔
16-62	佦
16-63	佨
16-64	佱
16-65	併
16-66	侌
16-67	侎
16-68	侓
16-69	侕
16-70	価
16-71	侫
16-72	侭
16-73	侶
16-74	侷
16-75	侽
16-76	侾
16-77	俁
16-78	俛
16-79	俢
16-80	俧
16-81	俬
16-82	俲
16-83	俻
16-84	俼
16-85	倁
16-86	倂
16-87	倃
16-88	倊
16-89	倐
16-90	倖
16-91	倣
16-92	値
16-93	倶
16-94	倸
17-01	倹
17-02	倿
17-03	偂
17-04	偖
17-05	偗
17-06	偘
17-07	偪
17-08	偱
17-09	偸
17-10	偹
17-11	偺
17-12	偼
17-13	偽
17-14	傊
17-15	傌
17-16	傐
17-17	傚
17-18	傡
17-19	傦
17-20	傯
17-21	傼
17-22	僃
17-23	僊
17-24	僘
17-25	僟
17-26	僠
17-27	僣
17-28	僱
17-29	僲
17-30	僴
17-31	僷
17-32	僺
17-33	儁
17-34	儊
17-35	儌
17-36	儏
17-37	儖
17-38	儗
17-39	儙
17-40	儝
17-41	儞
17-42	儨
17-43	儬
17-44	儮
17-45	儯
17-46	儵
17-47	儽
17-48	兂
17-49	兇
17-50	兊
17-51	兌
17-52	兎
17-53	兏
17-54	児
17-55	兗
17-56	兘
17-57	兙
17-58	兛
17-59	兝
17-60	兞
17-61	兠
17-62	兡
17-63	兣
17-64	兤
17-65	兦
17-66	內
17-67	兪
17-68	兲
17-69	兾
17-70	兿
17-71	冃
17-72	冄
17-73	円
17-74	冊
17-75	冋
17-76	冐
17-77	冑
17-78	冝
17-79	冣
17-80	冦
17-81	冩
17-82	冪
17-83	冭
17-84	冴
17-85	冺
17-86	凂
17-87	凓
17-88	凖
17-89	凙
17-90	凜
17-91	凞
17-92	凢
17-93	凣
17-94	処
18-01	凧
18-02	凩
18-03	凪
18-04	凮
18-05	凲
18-06	凴
18-07	凾
18-08	刄
18-09	刅
18-10	刋
18-11	刔
18-12	刟
18-13	刣
18-14	別
18-15	刦
18-16	刧
18-17	刪
18-18	刯
18-19	刴
18-20	刼
18-21	刾
18-22	剆
18-23	剉
18-24	剎
18-25	剏
18-26	剙
18-27	剝
18-28	剣
18-29	剤
18-30	剦
18-31	剰
18-32	剱
18-33	剳
18-34	剷
18-35	剹
18-36	劄
18-37	劅
18-38	劆
18-39	劎
18-40	劒
18-41	劔
18-42	劥
18-43	劧
18-44	劯
18-45	劰
18-46	労
18-47	劵
18-48	劶
18-49	劷
18-50	劸
18-51	劽
18-52	勂
18-53	勄
18-54	勅
18-55	勆
18-56	勈
18-57	勌
18-58	勏
18-59	勑
18-60	勠
18-61	勣
18-62	勦
18-63	勧
18-64	勪
18-65	勲
18-66	勻
18-67	匁
18-68	匂
18-69	匃
18-70	匄
18-71	匇
18-72	匎
18-73	匓
18-74	匛
18-75	匞
18-76	匟
18-77	匢
18-78	匤
18-79	匨
18-80	匩
18-81	匲
18-82	匳
18-83	匶
18-84	匷
18-85	卆
18-86	卋
18-87	単
18-88	卛
18-89	卥
18-90	卹
18-91	卻
18-92	卽
18-93	卾
18-94	厀
19-01	厈
19-02	厒
19-03	厛
19-04	厡
19-05	厤
19-06	厯
19-07	厰
19-08	厳
19-09	厸
19-10	厺
19-11	叀
19-12	叄
19-13	叅
19-14	収
19-15	叏
19-16	叐
19-17	叓
19-18	叚
19-19	叝
19-20	叡
19-21	叧
19-22	叺
19-23	吀
19-24	吚
19-25	吳
19-26	吶
19-27	吿
19-28	呂
19-29	呄
19-30	呇
19-31	呉
19-32	呌
19-33	呍
19-34	呏
19-35	呑
19-36	呚
19-37	呟
19-38	呪
19-39	呮
19-40	咃
19-41	咊
19-42	咓
19-43	咜
19-44	咞
19-45	咲
19-46	哖
19-47	哘
19-48	唀
19-49	唍
19-50	唒
19-51	唕
19-52	唖
19-53	唘
19-54	唜
19-55	唨
19-56	唫
19-57	唸
19-58	啎
19-59	啑
19-60	啟
19-61	啠
19-62	啢
19-63	啣
19-64	啳
19-65	啿
19-66	喍
19-67	喎
19-68	喒
19-69	喞
19-70	喩
19-71	喫
19-72	喰
19-73	営
19-74	喺
19-75	嗁
19-76	嗘
19-77	嗠
19-78	嗧
19-79	嗮
19-80	嗴
19-81	嘃
19-82	嘑
19-83	嘙
19-84	嘝
19-85	嘠
19-86	嘨
19-87	嘷
19-88	噉
19-89	噑
19-90	噒
19-91	噓
19-92	噚
19-93	噛
19-94	噮
20-01	噵
20-02	噺
20-03	嚉
20-04	嚐
20-05	嚑
20-06	嚒
20-07	嚟
20-08	嚠
20-09	嚢
20-10	嚥
20-11	嚰
20-12	嚱
20-13	嚸
20-14	嚺
20-15	嚻
20-16	囃
20-17	囄
20-18	囇
20-19	囎
20-20	囒
20-21	囓
20-22	囘
20-23	囙
20-24	囜
20-25	団
20-26	囨
20-27	囪
20-28	囬
20-29	囯
20-30	囲
20-31	図
20-32	囶
20-33	囻
20-34	圅
20-35	圎
20-36	圏
20-37	圑
20-38	圕
20-39	圗
20-40	圝
20-41	圥
20-42	圦
20-43	圧
20-44	圵
20-45	圷
20-46	圸
20-47	坓
20-48	坕
20-49	坖
20-50	坘
20-51	坙
20-52	坵
20-53	垉
20-54	垊
20-55	垜
20-56	垨
20-57	垪
20-58	垬
20-59	垰
20-60	垳
20-61	垻
20-62	埀
20-63	埈
20-64	埓
20-65	埖
20-66	埛
20-67	埜
20-68	埳
20-69	堏
20-70	堐
20-71	堒
20-72	堓
20-73	堔
20-74	堘
20-75	堜
20-76	堦
20-77	堩
20-78	堷
20-79	堻
20-80	堿
20-81	塀
20-82	塁
20-83	塇
20-84	塛
20-85	塟
20-86	塡
20-87	塣
20-88	塦
20-89	塩
20-90	塪
20-91	塭
20-92	塯
20-93	塰
20-94	塲
21-01	塶
21-02	塼
21-03	墍
21-04	墖
21-05	増
21-06	墛
21-07	墤
21-08	墧
21-09	墪
21-10	墵
21-11	墸
21-12	墹
21-13	壀
21-14	壃
21-15	壄
21-16	壈
21-17	壉
21-18	壊
21-19	壌
21-20	壎
21-21	壗
21-22	壜
21-23	壡
21-24	壣
21-25	壥
21-26	壦
21-27	壨
21-28	壱
21-29	売
21-30	壵
21-31	壷
21-32	壻
21-33	壿
21-34	夀
21-35	夁
21-36	夈
21-37	変
21-38	夑
21-39	夓
21-40	夘
21-41	夛
21-42	夠
21-43	夣
21-44	夦
21-45	夳
21-46	夶
21-47	奌
21-48	奍
21-49	奙
21-50	奛
21-51	奧
21-52	奨
21-53	奱
21-54	奷
21-55	奿
21-56	妀
21-57	妕
21-58	妛
21-59	妬
21-60	妱
21-61	妷
21-62	妽
21-63	姄
21-64	姉
21-65	姍
21-66	姙
21-67	姢
21-68	姦
21-69	姪
21-70	姭
21-71	姸
21-72	姾
21-73	娏
21-74	娚
21-75	娛
21-76	娢
21-77	娤
21-78	娦
21-79	娮
21-80	娯
21-81	娰
21-82	娳
21-83	娿
21-84	婃
21-85	婅
21-86	婇
21-87	婐
21-88	婒
21-89	婔
21-90	婖
21-91	婛
21-92	婝
21-93	婣
21-94	婬
22-01	婮
22-02	婯
22-03	婱
22-04	婲
22-05	婾
22-06	媇
22-07	媈
22-08	媍
22-09	媘
22-10	媙
22-11	媡
22-12	媫
22-13	媬
22-14	媯
22-15	媼
22-16	媿
22-17	嫋
22-18	嫍
22-19	嫐
22-20	嫑
22-21	嫓
22-22	嫝
22-23	嫰
22-24	嫹
22-25	嫺
22-26	嫾
22-27	嬁
22-28	嬄
22-29	嬊
22-30	嬍
22-31	嬑
22-32	嬓
22-33	嬔
22-34	嬘
22-35	嬝
22-36	嬢
22-37	嬫
22-38	嬭
22-39	嬵
22-40	嬶
22-41	嬽
22-42	嬾
22-43	孁
22-44	孏
22-45	孒
22-46	孞
22-47	孠
22-48	孧
22-49	孯
22-50	孲
22-51	孶
22-52	孹
22-53	孼
22-54	孾
22-55	宂
22-56	宆
22-57	宐
22-58	宑
22-59	宒
22-60	実
22-61	宨
22-62	宩
22-63	宮
22-64	宯
22-65	宲
22-66	宷
22-67	宺
22-68	宻
22-69	宼
22-70	寀
22-71	寃
22-72	寈
22-73	寑
22-74	寔
22-75	寕
22-76	寗
22-77	寘
22-78	寚
22-79	寛
22-80	寜
22-81	寭
22-82	寯
22-83	寳
22-84	対
22-85	専
22-86	尐
22-87	尒
22-88	尓
22-89	尙
22-90	尟
22-91	尠
22-92	尡
22-93	尣
22-94	尦
23-01	尩
23-02	尫
23-03	尭
23-04	尮
23-05	尶
23-06	屆
23-07	屍
23-08	屗
23-09	屘
23-10	屛
23-11	屶
23-12	屷
23-13	岀
23-14	岄
23-15	岅
23-16	岆
23-17	岇
23-18	岉
23-19	岲
23-20	岼
23-21	峀
23-22	峅
23-23	峈
23-24	峍
23-25	峑
23-26	峕
23-27	峝
23-28	峠
23-29	峢
23-30	峩
23-31	峯
23-32	峸
23-33	崈
23-34	崉
23-35	崊
23-36	崋
23-37	崏
23-38	崐
23-39	崘
23-40	崰
23-41	崸
23-42	嵄
23-43	嵅
23-44	嵈
23-45	嵍
23-46	嵒
23-47	嵗
23-48	嵙
23-49	嵜
23-50	嵞
23-51	嵭
23-52	嵳
23-53	嵵
23-54	嵶
23-55	嵻
23-56	嵾
23-57	嶀
23-58	嶃
23-59	嶌
23-60	嶎
23-61	嶐
23-62	嶑
23-63	嶥
23-64	嶫
23-65	嶯
23-66	嶲
23-67	嶵
23-68	嶶
23-69	嶽
23-70	嶿
23-71	巀
23-72	巈
23-73	巌
23-74	巓
23-75	巕
23-76	巗
23-77	巙
23-78	巚
23-79	巠
23-80	巣
23-81	巵
23-82	巺
23-83	巻
23-84	帀
23-85	帠
23-86	帬
23-87	帯
23-88	帰
23-89	帲
23-90	帿
23-91	幁
23-92	幇
23-93	幉
23-94	幊
24-01	幑
24-02	幙
24-03	幚
24-04	幤
24-05	幥
24-06	幮
24-07	幵
24-08	幷
24-09	広
24-10	庅
24-11	庒
24-12	庻
24-13	庽
24-14	廀
24-15	廁
24-16	廂
24-17	廃
24-18	廍
24-19	廏
24-20	廐
24-21	廕
24-22	廚
24-23	廝
24-24	廩
24-25	廫
24-26	廭
24-27	廰
24-28	廵
24-29	廸
24-30	廹
24-31	廻
24-32	廼
24-33	廽
24-34	弅
24-35	弉
24-36	弐
24-37	弒
24-38	弔
24-39	弖
24-40	弫
24-41	弬
24-42	強
24-43	弾
24-44	彁
24-45	彂
24-46	彅
24-47	彊
24-48	彑
24-49	彔
24-50	彚
24-51	彛
24-52	彞
24-53	彥
24-54	彫
24-55	彵
24-56	彺
24-57	彿
24-58	徃
24-59	徍
24-60	徏
24-61	従
24-62	徔
24-63	徖
24-64	徚
24-65	徟
24-66	徢
24-67	徣
24-68	徤
24-69	徧
24-70	徰
24-71	徱
24-72	徳
24-73	徴
24-74	徺
24-75	徻
24-76	徾
24-77	忁
24-78	忎
24-79	忛
24-80	応
24-81	忟
24-82	忢
24-83	忩
24-84	忰
24-85	怱
24-86	怳
24-87	怷
24-88	怺
24-89	怽
24-90	恄
24-91	恆
24-92	恏
24-93	恖
24-94	恘
25-01	恠
25-02	恡
25-03	恥
25-04	恦
25-05	恱
25-06	恴
25-07	恵
25-08	恷
25-09	悅
25-10	悑
25-11	悓
25-12	悞
25-13	悡
25-14	悤
25-15	悥
25-16	悩
25-17	悪
25-18	悳
25-19	悽
25-20	惂
25-21	惍
25-22	惏
25-23	惞
25-24	惣
25-25	惤
25-26	惥
25-27	惪
25-28	惷
25-29	愂
25-30	愡
25-31	愥
25-32	愬
25-33	愯
25-34	愱
25-35	愳
25-36	愹
25-37	愼
25-38	愽
25-39	慂
25-40	慄
25-41	慇
25-42	慍
25-43	慏
25-44	慐
25-45	慙
25-46	慴
25-47	慻
25-48	慼
25-49	慽
25-50	慾
25-51	慿
25-52	憄
25-53	憅
25-54	憇
25-55	憉
25-56	憗
25-57	憘
25-58	憠
25-59	憳
25-60	憽
25-61	懃
25-62	懄
25-63	懍
25-64	懎
25-65	懏
25-66	懐
25-67	懓
25-68	懗
25-69	懚
25-70	懜
25-71	懝
25-72	懧
25-73	懩
25-74	懬
