来源：https://www.unicode.org/Public/MAPPINGS/OBSOLETE/EASTASIA/JIS/JIS0212.TXT

JIS X 0212 区位	字符	注释
2-15	˘
2-16	ˇ
2-17	¸
2-18	˙
2-19	˝
2-20	¯
2-21	˛
2-22	˚
2-23	~
2-24	΄
2-25	΅
2-34	¡
2-35	¦
2-36	¿
2-75	º
2-76	ª
2-77	©
2-78	®
2-79	™
2-80	¤
2-81	№
6-65	Ά
6-66	Έ
6-67	Ή
6-68	Ί
6-69	Ϊ
6-71	Ό
6-73	Ύ
6-74	Ϋ
6-76	Ώ
6-81	ά
6-82	έ
6-83	ή
6-84	ί
6-85	ϊ
6-86	ΐ
6-87	ό
6-88	ς
6-89	ύ
6-90	ϋ
6-91	ΰ
6-92	ώ
7-34	Ђ
7-35	Ѓ
7-36	Є
7-37	Ѕ
7-38	І
7-39	Ї
7-40	Ј
7-41	Љ
7-42	Њ
7-43	Ћ
7-44	Ќ
7-45	Ў
7-46	Џ
7-82	ђ
7-83	ѓ
7-84	є
7-85	ѕ
7-86	і
7-87	ї
7-88	ј
7-89	љ
7-90	њ
7-91	ћ
7-92	ќ
7-93	ў
7-94	џ
9-01	Æ
9-02	Đ
9-04	Ħ
9-06	Ĳ
9-08	Ł
9-09	Ŀ
9-11	Ŋ
9-12	Ø
9-13	Œ
9-15	Ŧ
9-16	Þ
9-33	æ
9-34	đ
9-35	ð
9-36	ħ
9-37	ı
9-38	ĳ
9-39	ĸ
9-40	ł
9-41	ŀ
9-42	ŉ
9-43	ŋ
9-44	ø
9-45	œ
9-46	ß
9-47	ŧ
9-48	þ
10-01	Á
10-02	À
10-03	Ä
10-04	Â
10-05	Ă
10-06	Ǎ
10-07	Ā
10-08	Ą
10-09	Å
10-10	Ã
10-11	Ć
10-12	Ĉ
10-13	Č
10-14	Ç
10-15	Ċ
10-16	Ď
10-17	É
10-18	È
10-19	Ë
10-20	Ê
10-21	Ě
10-22	Ė
10-23	Ē
10-24	Ę
10-26	Ĝ
10-27	Ğ
10-28	Ģ
10-29	Ġ
10-30	Ĥ
10-31	Í
10-32	Ì
10-33	Ï
10-34	Î
10-35	Ǐ
10-36	İ
10-37	Ī
10-38	Į
10-39	Ĩ
10-40	Ĵ
10-41	Ķ
10-42	Ĺ
10-43	Ľ
10-44	Ļ
10-45	Ń
10-46	Ň
10-47	Ņ
10-48	Ñ
10-49	Ó
10-50	Ò
10-51	Ö
10-52	Ô
10-53	Ǒ
10-54	Ő
10-55	Ō
10-56	Õ
10-57	Ŕ
10-58	Ř
10-59	Ŗ
10-60	Ś
10-61	Ŝ
10-62	Š
10-63	Ş
10-64	Ť
10-65	Ţ
10-66	Ú
10-67	Ù
10-68	Ü
10-69	Û
10-70	Ŭ
10-71	Ǔ
10-72	Ű
10-73	Ū
10-74	Ų
10-75	Ů
10-76	Ũ
10-77	Ǘ
10-78	Ǜ
10-79	Ǚ
10-80	Ǖ
10-81	Ŵ
10-82	Ý
10-83	Ÿ
10-84	Ŷ
10-85	Ź
10-86	Ž
10-87	Ż
11-01	á
11-02	à
11-03	ä
11-04	â
11-05	ă
11-06	ǎ
11-07	ā
11-08	ą
11-09	å
11-10	ã
11-11	ć
11-12	ĉ
11-13	č
11-14	ç
11-15	ċ
11-16	ď
11-17	é
11-18	è
11-19	ë
11-20	ê
11-21	ě
11-22	ė
11-23	ē
11-24	ę
11-25	ǵ
11-26	ĝ
11-27	ğ
11-29	ġ
11-30	ĥ
11-31	í
11-32	ì
11-33	ï
11-34	î
11-35	ǐ
11-37	ī
11-38	į
11-39	ĩ
11-40	ĵ
11-41	ķ
11-42	ĺ
11-43	ľ
11-44	ļ
11-45	ń
11-46	ň
11-47	ņ
11-48	ñ
11-49	ó
11-50	ò
11-51	ö
11-52	ô
11-53	ǒ
11-54	ő
11-55	ō
11-56	õ
11-57	ŕ
11-58	ř
11-59	ŗ
11-60	ś
11-61	ŝ
11-62	š
11-63	ş
11-64	ť
11-65	ţ
11-66	ú
11-67	ù
11-68	ü
11-69	û
11-70	ŭ
11-71	ǔ
11-72	ű
11-73	ū
11-74	ų
11-75	ů
11-76	ũ
11-77	ǘ
11-78	ǜ
11-79	ǚ
11-80	ǖ
11-81	ŵ
11-82	ý
11-83	ÿ
11-84	ŷ
11-85	ź
11-86	ž
11-87	ż
16-01	丂
16-02	丄
16-03	丅
16-04	丌
16-05	丒
16-06	丟
16-07	丣
16-08	两
16-09	丨
16-10	丫
16-11	丮
16-12	丯
16-13	丰
16-14	丵
16-15	乀
16-16	乁
16-17	乄
16-18	乇
16-19	乑
16-20	乚
16-21	乜
16-22	乣
16-23	乨
16-24	乩
16-25	乴
16-26	乵
16-27	乹
16-28	乿
16-29	亍
16-30	亖
16-31	亗
16-32	亝
16-33	亯
16-34	亹
16-35	仃
16-36	仐
16-37	仚
16-38	仛
16-39	仠
16-40	仡
