兼容字	SVS 表示	兼容字对应码点	SVS 码点
豈	豈︀	U+F900	U+8C48 U+FE00
更	更︀	U+F901	U+66F4 U+FE00
車	車︀	U+F902	U+8ECA U+FE00
賈	賈︀	U+F903	U+8CC8 U+FE00
滑	滑︀	U+F904	U+6ED1 U+FE00
串	串︀	U+F905	U+4E32 U+FE00
句	句︀	U+F906	U+53E5 U+FE00
龜	龜︀	U+F907	U+9F9C U+FE00
龜	龜︁	U+F908	U+9F9C U+FE01
契	契︀	U+F909	U+5951 U+FE00
金	金︀	U+F90A	U+91D1 U+FE00
喇	喇︀	U+F90B	U+5587 U+FE00
奈	奈︀	U+F90C	U+5948 U+FE00
懶	懶︀	U+F90D	U+61F6 U+FE00
癩	癩︀	U+F90E	U+7669 U+FE00
羅	羅︀	U+F90F	U+7F85 U+FE00
蘿	蘿︀	U+F910	U+863F U+FE00
螺	螺︀	U+F911	U+87BA U+FE00
裸	裸︀	U+F912	U+88F8 U+FE00
邏	邏︀	U+F913	U+908F U+FE00
樂	樂︀	U+F914	U+6A02 U+FE00
洛	洛︀	U+F915	U+6D1B U+FE00
烙	烙︀	U+F916	U+70D9 U+FE00
珞	珞︀	U+F917	U+73DE U+FE00
落	落︀	U+F918	U+843D U+FE00
酪	酪︀	U+F919	U+916A U+FE00
駱	駱︀	U+F91A	U+99F1 U+FE00
亂	亂︀	U+F91B	U+4E82 U+FE00
卵	卵︀	U+F91C	U+5375 U+FE00
欄	欄︀	U+F91D	U+6B04 U+FE00
爛	爛︀	U+F91E	U+721B U+FE00
蘭	蘭︀	U+F91F	U+862D U+FE00
鸞	鸞︀	U+F920	U+9E1E U+FE00
嵐	嵐︀	U+F921	U+5D50 U+FE00
濫	濫︀	U+F922	U+6FEB U+FE00
藍	藍︀	U+F923	U+85CD U+FE00
襤	襤︀	U+F924	U+8964 U+FE00
拉	拉︀	U+F925	U+62C9 U+FE00
臘	臘︀	U+F926	U+81D8 U+FE00
蠟	蠟︀	U+F927	U+881F U+FE00
廊	廊︀	U+F928	U+5ECA U+FE00
朗	朗︀	U+F929	U+6717 U+FE00
浪	浪︀	U+F92A	U+6D6A U+FE00
狼	狼︀	U+F92B	U+72FC U+FE00
郎	郎︀	U+F92C	U+90CE U+FE00
來	來︀	U+F92D	U+4F86 U+FE00
冷	冷︀	U+F92E	U+51B7 U+FE00
勞	勞︀	U+F92F	U+52DE U+FE00
擄	擄︀	U+F930	U+64C4 U+FE00
櫓	櫓︀	U+F931	U+6AD3 U+FE00
爐	爐︀	U+F932	U+7210 U+FE00
盧	盧︀	U+F933	U+76E7 U+FE00
老	老︀	U+F934	U+8001 U+FE00
蘆	蘆︀	U+F935	U+8606 U+FE00
虜	虜︀	U+F936	U+865C U+FE00
路	路︀	U+F937	U+8DEF U+FE00
露	露︀	U+F938	U+9732 U+FE00
魯	魯︀	U+F939	U+9B6F U+FE00
鷺	鷺︀	U+F93A	U+9DFA U+FE00
碌	碌︀	U+F93B	U+788C U+FE00
祿	祿︀	U+F93C	U+797F U+FE00
綠	綠︀	U+F93D	U+7DA0 U+FE00
菉	菉︀	U+F93E	U+83C9 U+FE00
錄	錄︀	U+F93F	U+9304 U+FE00
鹿	鹿︀	U+F940	U+9E7F U+FE00
論	論︀	U+F941	U+8AD6 U+FE00
壟	壟︀	U+F942	U+58DF U+FE00
弄	弄︀	U+F943	U+5F04 U+FE00
籠	籠︀	U+F944	U+7C60 U+FE00
聾	聾︀	U+F945	U+807E U+FE00
牢	牢︀	U+F946	U+7262 U+FE00
磊	磊︀	U+F947	U+78CA U+FE00
賂	賂︀	U+F948	U+8CC2 U+FE00
雷	雷︀	U+F949	U+96F7 U+FE00
壘	壘︀	U+F94A	U+58D8 U+FE00
屢	屢︀	U+F94B	U+5C62 U+FE00
樓	樓︀	U+F94C	U+6A13 U+FE00
淚	淚︀	U+F94D	U+6DDA U+FE00
漏	漏︀	U+F94E	U+6F0F U+FE00
累	累︀	U+F94F	U+7D2F U+FE00
縷	縷︀	U+F950	U+7E37 U+FE00
陋	陋︀	U+F951	U+964B U+FE00
