PUA	正规字符	注释
	ᅟᅡᆮ
	ᅟᅡퟍ
	ᅟᅡᆯ
	ᅟᅡᆰ
	ᅟᅡᆱ
	ᅟᅡᆲ
	ᅟᅡᆺ
	ᅟᅡᆻ
	ᅟᅡᆽ
	ᅟᅡퟹ
	ᅟᆣ
	ᅟᆣᆮ
	ᅟᅣᆫ
	ᅟᅥᆯ
	ᅟᅥᆸ
	ᅟᅮᆫ
	ᅟᅵᆨ
	ᅟᅵᆫ
	ᅟᅵᆯ
	ᅟᅵᆺ
	ᅟᅵᆼ
	ᅟᆞᆯ
	가ᇿ
	가ᇇ
	가ᇊ
	가ᇍ
	가ᇎ
	가ᇐ
	가ퟛ
	가ᇙ
	가ᇝ
	가ᇡ
	가ᇢ
	가ᇤ
	가ᇥ
	가ᇦ
	가ᇧ
	가ᇪ
	가ퟰ
	가ퟱ
	가ᇫ
	가ᇱ
	가ᇰ
	가ᇱ
	가ᇹ
	ᄀᅶ
	ᄀᅷ
	개ᇍ
	개ퟛ
	개ᇰ
	갸ᇢ
	갸ᇦ
	갸ᇰ
	갸ᇹ
	ᄀᅸ
	거ᇇ
	거ᇐ
	거ᇙ
	거ᇝ
	거ᇢ
	거ᇣ
	거ᇦ
	거ᇧ
	거ퟰ
	거ퟲ
	거ᇫ
	거ᇰ
	거ᇹ
	ᄀᅼ
	ᄀᅼᆫ
	ᄀᅼᆯ
	ᄀᅼᆷ
	게ᇰ
	겨ퟔ
	겨ᇙ
	겨ᇢ
	겨ퟩ
	겨ᇧ
	겨ퟰ
	겨ퟱ
	겨ퟲ
	겨ᇫ
	겨ᇰ
	겨ᇱ
	겨ᇹ
	계ᇰ
	고ᇐ
	고ퟚ
	고ᇖ
	고ᇙ
	고ᇚ
	고ᇝ
	고ᇢ
	고ᇦ
	고ퟰ
	고ᇫ
	고ᇰ
	고ᇱ
	고ᇷ
	고ᇸ
	과ᇇ
	과ᇙ
	과ᇰ
	과ᇹ
	ᄀᆦ
	ᄀᆦᆼ
	ᄀᅿ
	ᄀᅿᆫ
	ᄀᅿᆯ
	ᄀᆂ
	ᄀᆂᆯ
	괴ᇰ
	교ᇙ
	교ᇢ
	교ᇰ
	ᄀힲ
	ᄀힳ
	ᄀힳᆯ
	ᄀᆄ
	ᄀᆅ
	ᄀᆅᆯ
	ᄀᆅᆰ
	ᄀᆈ
	ᄀᆈᆫ
	구ᇽ
	구ᇇ
	구ᇍ
	구ᇐ
	구ᇙ
	구ᇚ
	구ᇝ
	구ᇢ
	구ᇦ
	구ᇬ
	구ᇰ
	구ᇬ
	구ᇶ
	구ᇹ
	ᄀᆉ
	ᄀᆉᆫ
	ᄀᆉᆷ
	ᄀᆉᆼ
	ᄀᆊ
	궈ᇇ
	궈ᇙ
	궈ᇹ
	ᄀᆋ
	ᄀᆋᆫ
	ᄀힵ
	ᄀᆌ
	ᄀᆍ
	ᄀᆍᆯ
	귀ᇰ
	귀ᇹ
	규ᇙ
	규ᇢ
	규ᇰ
	규ᇹ
	ᄀᆎ
	ᄀᆎᆫ
	ᄀᆏ
	ᄀᆏᆫ
	ᄀᆑ
	ᄀᆑᆨ
	ᄀᆑᆫ
	ᄀᆑᆯ
	ᄀᆑᇙ
	ᄀᆑᆼ
