GB 18030 码位	UCS 码位	字符	注释
0xB0D4	U+9738	霸
0xB1C7	U+9F3B	鼻
0xB2FC	U+98A4	颤
0xB4A3	U+77D7	矗
0xB4C0	U+8822	蠢
0xB5FE	U+53E0	叠
0xB8B2	U+8986	覆
0xB8E0	U+818F	膏
0xB8FE	U+7FB9	羹
0xBDA9	U+50F5	僵
0xBDAE	U+7586	疆
0xBEAF	U+8B66	警
0xBEF0	U+652B	攫
0xC1BF	U+91CF	量
0xC2FB	U+8513	蔓
0xC4A1	U+6479	摹
0xC4D2	U+56CA	囊
0xC6A9	U+8B6C	譬
0xC7E8	U+6C30	氰
0xC9C3	U+64C5	擅
0xCCB4	U+6A80	檀
0xD3A5	U+9E70	鹰
0xD3DD	U+865E	虞
0xD5BA	U+8638	蘸
0xD7D7	U+9B03	鬃
0xD7EB	U+7E82	纂
0xD8E6	U+5293	劓
0xDBC7	U+77CD	矍
0xDCB0	U+99A8	馨
0xDCB1	U+9F19	鼙
0xDDEB	U+84E6	蓦
0xDEA6	U+8548	蕈
0xDEA9	U+855E	蕞
0xDEB7	U+85B9	薹
0xDEBB	U+85C1	藁
0xDEBD	U+85FF	藿
0xDEBE	U+8627	蘧
0xDFA9	U+64E4	擤
0xDFAC	U+6525	攥
0xDFAD	U+652E	攮
0xE0EC	U+56D4	囔
0xE2CE	U+9995	馕
0xE2DE	U+5EEA	廪
0xE2DF	U+81BA	膺
0xE3C4	U+96B3	隳
0xE5A4	U+6FB6	澶
0xE5A8	U+6FDE	濞
0xE5B1	U+705E	灞
0xE5C0	U+8B07	謇
0xE5E1	U+907D	遽
0xE5F7	U+9B3B	鬻
0xE6D3	U+5B17	嬗
0xE7D6	U+7F30	缰
0xE9D2	U+6A50	橐
0xEAD8	U+66E6	曦
0xEAD9	U+66E9	曩
0xEBAA	U+6C07	氇
0xEBFE	U+81BB	膻
0xECB2	U+89F3	觳
0xECE0	U+7228	爨
0xEDB0	U+6206	戆
0xEDE4	U+7913	礓
0xEEAD	U+77BD	瞽
0xF0D0	U+9E66	鹦
0xF0D1	U+9E67	鹧
0xF1B3	U+766F	癯
0xF1FA	U+8071	聱
0xF3BC	U+8839	蠹
0xF3BD	U+883C	蠼
0xF3F4	U+7BDD	篝
0xF4A1	U+7C1F	簟
0xF4EE	U+7E9B	纛
0xF5A7	U+917E	酾
0xF5AD	U+9190	醐
0xF5B0	U+91A2	醢
0xF5B5	U+91AF	醯
0xF5B6	U+91B5	醵
0xF5B8	U+91BA	醺
0xF6A5	U+8B26	謦
0xF6B0	U+972D	霭
0xF6B1	U+9730	霰
0xF6B2	U+973E	霾
0xF6BE	U+9F0D	鼍
0xF7A1	U+9CCC	鳌
0xF7AA	U+9CD8	鳘
0xF7D1	U+992E	餮
0xF7D2	U+9955	饕
0xF7D3	U+9954	饔
0xF7D7	U+9AEF	髯
0xF7D9	U+9AFB	髻
0xF7DC	U+9B08	鬈
