GB 18030 码位	UCS 码位	字符	注释
0xCC8A	U+864B	虋
0xF347	U+9A61	驡
0xF458	U+9B24	鬤
0xFB54	U+9E17	鸗
0xFB97	U+9EA0	麠
0xFD85	U+9F7E	齾
0xFD93	U+9F98	龘
0x8234AE31	U+4A3A	䨺
0x8234DC39	U+4C0E	䰎
0x8234DD33	U+4C12	䰒
0x8234DD34	U+4C13	䰓
0x8234DD36	U+4C15	䰕
0x8234DD37	U+4C16	䰖
0x9532F433	U+20471	𠑱
0x9532F436	U+20474	𠑴
0x95338A35	U+2053B	𠔻
0x9535CA35	U+21193	𡆓
0x9536AB37	U+2154B	𡕋
0x9539B639	U+2247F	𢑿
0x9631E736	U+2303E	𣀾
0x9631E738	U+23040	𣁀
0x9633BA38	U+23856	𣡖
0x9633BC34	U+23866	𣡦
0x9633BC38	U+2386A	𣡪
0x96368C35	U+2454B	𤕋
0x9637D535	U+24D11	𤴑
0x96388B30	U+24F14	𤼔
0x97318139	U+25D7D	𥵽
0x9732A839	U+263EF	𦏯
0x9733BF32	U+269BA	𦦺
0x9733BF36	U+269BE	𦦾
0x9733C033	U+269C5	𦧅
0x97358934	U+27178	𧅸
0x97358C30	U+27192	𧆒
0x9736D531	U+27959	𧥙
0x97378F38	U+27B90	𧮐
0x9738E936	U+283FE	𨏾
0x9738EA31	U+28403	𨐃
0x9830BF39	U+28C35	𨰵
0x9831CE36	U+291B4	𩆴
0x9831D038	U+291CA	𩇊
0x9831D135	U+291D1	𩇑
0x9831D137	U+291D3	𩇓
0x9831D138	U+291D4	𩇔
0x98328D36	U+29416	𩐖
0x9832C832	U+29660	𩙠
0x9833A433	U+299E5	𩧥
0x9833B738	U+29AA8	𩪨
0x9833BC38	U+29ADA	𩫚
0x9833BD32	U+29ADE	𩫞
0x9833D636	U+29BDC	𩯜
0x9833D734	U+29BE4	𩯤
0x9833D736	U+29BE6	𩯦
0x9833D833	U+29BED	𩯭
0x9833D835	U+29BEF	𩯯
0x9833D837	U+29BF1	𩯱
0x9833D839	U+29BF3	𩯳
0x9833D930	U+29BF4	𩯴
0x9833D938	U+29BFC	𩯼
0x9833DA31	U+29BFF	𩯿
0x9833DA35	U+29C03	𩰃
0x9833DB31	U+29C09	𩰉
0x9833E630	U+29C76	𩱶
0x9834F137	U+2A1D7	𪇗
0x9834F838	U+2A21E	𪈞
0x9834FB39	U+2A23D	𪈽
0x98358E32	U+2A2E0	𪋠
0x98358E37	U+2A2E5	𪋥
0x98358F34	U+2A2EC	𪋬
0x98359037	U+2A2F9	𪋹
0x9835AD31	U+2A415	𪐕
0x9835EE37	U+2A6A5	𪚥
0x9835F136	U+2A6C2	𪛂
0x9835F138	U+2A6C4	𪛄
0x9835F139	U+2A6C5	𪛅
0x9835F230	U+2A6C6	𪛆
0x9835F232	U+2A6C8	𪛈
0x9836E933	U+2AB5B	𪭛
0x9837D834	U+2AF9E	𪾞
0x9838A730	U+2B29C	𫊜
0x98399435	U+2B6CF	𫛏
0x98399535	U+2B6D9	𫛙
0x9839BC37	U+2B861	𫡡
0x9839DF37	U+2B9BF	𫦿
0x9931C134	U+2C268	𬉨
0x9931CD34	U+2C2E0	𬋠
0x9931CD36	U+2C2E2	𬋢
0x9931CD37	U+2C2E3	𬋣
0x9932B033	U+2C6A9	𬚩
0x9932B931	U+2C701	𬜁
0x9932D030	U+2C7E6	𬟦
0x9933B035	U+2CB97	𬮗
0x9933DA36	U+2CD3C	𬴼
0x9933ED36	U+2CDFA	𬷺
0x9934CC32	U+2D198	𭆘
0x9934FC33	U+2D379	𭍹
0x9936F430	U+2DCFE	𭳾
0x9939F136	U+2EBAA	𮮪	原文 GB 18030 码位误作「834FB398」，原因不明。
