GB 18030 码位	字符
0x8237CF35	가
0x8237CF36	각
0x8237CF38	갃
0x8237CF39	간
0x8237D032	갇
0x8237D033	갈
0x8237D034	갉
0x8237D035	갊
0x8237D036	갋
0x8237D037	갌
0x8237D131	감
0x8237D132	갑
0x8237D133	값
0x8237D134	갓
0x8237D135	갔
0x8237D136	강
0x8237D137	갖
0x8237D138	갗
0x8237D230	같
0x8237D231	갚
0x8237D232	갛
0x8237D233	개
0x8237D234	객
0x8237D237	갠
0x8237D239	갢
0x8237D330	갣
0x8237D331	갤
0x8237D339	갬
0x8237D430	갭
0x8237D432	갯
0x8237D433	갰
0x8237D434	갱
0x8237D531	갸
0x8237D532	갹
0x8237D535	갼
0x8237D538	갿
0x8237D539	걀
0x8237D637	걈
0x8237D730	걋
0x8237D732	걍
0x8237D739	걔
0x8237D833	걘
0x8237D837	걜
0x8237D935	걤
0x8237D936	걥
0x8237DA37	거
0x8237DA38	걱
0x8237DB31	건
0x8237DB34	걷
0x8237DB35	걸
0x8237DB36	걹
0x8237DB37	걺
0x8237DC33	검
0x8237DC34	겁
0x8237DC36	것
0x8237DC37	겄
0x8237DC38	겅
0x8237DC39	겆
0x8237DD30	겇
0x8237DD32	겉
0x8237DD33	겊
0x8237DD34	겋
0x8237DD35	게
0x8237DD39	겐
0x8237DE32	겓
0x8237DE33	겔
0x8237DF31	겜
0x8237DF32	겝
0x8237DF34	겟
0x8237DF35	겠
0x8237DF36	겡
0x8237E030	겥
0x8237E033	겨
0x8237E034	격
0x8237E035	겪
0x8237E037	견
0x8237E130	겯
0x8237E131	결
0x8237E132	겱
0x8237E135	겴
0x8237E139	겸
0x8237E230	겹
0x8237E232	겻
0x8237E233	겼
0x8237E234	경
0x8237E235	겾
0x8237E236	겿
0x8237E238	곁
0x8237E331	계
0x8237E335	곈
0x8237E338	곋
0x8237E339	곌
0x8237E437	곔
0x8237E438	곕
0x8237E530	곗
0x8237E532	곙
0x8237E539	고
0x8237E630	곡
0x8237E633	곤
0x8237E636	곧
0x8237E637	골
0x8237E638	곩
0x8237E639	곪
0x8237E731	곬
0x8237E734	곯
0x8237E735	곰
0x8237E736	곱
0x8237E738	곳
0x8237E830	공
0x8237E831	곶
0x8237E832	곷
0x8237E835	곺
0x8237E837	과
0x8237E838	곽
0x8237E931	관
0x8237E934	괃
0x8237E935	괄
0x8237E937	괆
0x8237EA33	괌
0x8237EA34	괍
0x8237EA36	괏
0x8237EA37	괐
0x8237EA38	광
0x8237EB35	괘
0x8237EB36	괙
