Unicode 1.1 码位	字符
U+3400	가
U+3401	각
U+3402	간
U+3403	갇
U+3404	갈
U+3405	갉
U+3406	갊
U+3407	감
U+3408	갑
U+3409	값
U+340A	갓
U+340B	갔
U+340C	강
U+340D	갖
U+340E	갗
U+340F	같
U+3410	갚
U+3411	갛
U+3412	개
U+3413	객
U+3414	갠
U+3415	갤
U+3416	갬
U+3417	갭
U+3418	갯
U+3419	갰
U+341A	갱
U+341B	갸
U+341C	갹
U+341D	갼
U+341E	걀
U+341F	걋
U+3420	걍
U+3421	걔
U+3422	걘
U+3423	걜
U+3424	거
U+3425	걱
U+3426	건
U+3427	걷
U+3428	걸
U+3429	걺
U+342A	검
U+342B	겁
U+342C	것
U+342D	겄
U+342E	겅
U+342F	겆
U+3430	겉
U+3431	겊
U+3432	겋
U+3433	게
U+3434	겐
U+3435	겔
U+3436	겜
U+3437	겝
U+3438	겟
U+3439	겠
U+343A	겡
U+343B	겨
U+343C	격
U+343D	겪
U+343E	견
U+343F	겯
U+3440	결
U+3441	겸
U+3442	겹
U+3443	겻
U+3444	겼
U+3445	경
U+3446	곁
U+3447	계
U+3448	곈
U+3449	곌
U+344A	곕
U+344B	곗
U+344C	고
U+344D	곡
U+344E	곤
U+344F	곧
U+3450	골
U+3451	곪
U+3452	곬
U+3453	곯
U+3454	곰
U+3455	곱
U+3456	곳
U+3457	공
U+3458	곶
U+3459	과
U+345A	곽
U+345B	관
U+345C	괄
U+345D	괆
U+345E	괌
U+345F	괍
U+3460	괏
U+3461	광
U+3462	괘
U+3463	괜
U+3464	괠
U+3465	괩
U+3466	괬
U+3467	괭
U+3468	괴
U+3469	괵
U+346A	괸
U+346B	괼
U+346C	굄
U+346D	굅
U+346E	굇
U+346F	굉
U+3470	교
U+3471	굔
U+3472	굘
U+3473	굡
U+3474	굣
U+3475	구
U+3476	국
U+3477	군
U+3478	굳
U+3479	굴
U+347A	굵
U+347B	굶
U+347C	굻
U+347D	굼
U+347E	굽
U+347F	굿
U+3480	궁
U+3481	궂
U+3482	궈
U+3483	궉
U+3484	권
U+3485	궐
U+3486	궜
U+3487	궝
U+3488	궤
U+3489	궷
U+348A	귀
U+348B	귁
U+348C	귄
U+348D	귈
U+348E	귐
U+348F	귑
U+3490	귓
U+3491	규
U+3492	균
U+3493	귤
U+3494	그
U+3495	극
U+3496	근
U+3497	귿
U+3498	글
U+3499	긁
U+349A	금
U+349B	급
U+349C	긋
U+349D	긍
U+349E	긔
U+349F	기
U+34A0	긱
U+34A1	긴
U+34A2	긷
U+34A3	길
U+34A4	긺
U+34A5	김
U+34A6	깁
U+34A7	깃
U+34A8	깅
U+34A9	깆
U+34AA	깊
U+34AB	까
U+34AC	깍
U+34AD	깎
U+34AE	깐
U+34AF	깔
U+34B0	깖
U+34B1	깜
U+34B2	깝
U+34B3	깟
U+34B4	깠
U+34B5	깡
U+34B6	깥
U+34B7	깨
U+34B8	깩
U+34B9	깬
U+34BA	깰
U+34BB	깸
U+34BC	깹
U+34BD	깻
U+34BE	깼
U+34BF	깽
U+34C0	꺄
U+34C1	꺅
U+34C2	꺌
U+34C3	꺼
U+34C4	꺽
U+34C5	꺾
U+34C6	껀
U+34C7	껄
U+34C8	껌
U+34C9	껍
U+34CA	껏
U+34CB	껐
U+34CC	껑
U+34CD	께
U+34CE	껙
U+34CF	껜
U+34D0	껨
U+34D1	껫
U+34D2	껭
U+34D3	껴
U+34D4	껸
U+34D5	껼
U+34D6	꼇
U+34D7	꼈
U+34D8	꼍
U+34D9	꼐
U+34DA	꼬
U+34DB	꼭
U+34DC	꼰
U+34DD	꼲
U+34DE	꼴
U+34DF	꼼
U+34E0	꼽
U+34E1	꼿
U+34E2	꽁
U+34E3	꽂
U+34E4	꽃
U+34E5	꽈
U+34E6	꽉
U+34E7	꽐
U+34E8	꽜
U+34E9	꽝
U+34EA	꽤
U+34EB	꽥
U+34EC	꽹
U+34ED	꾀
U+34EE	꾄
U+34EF	꾈
U+34F0	꾐
U+34F1	꾑
U+34F2	꾕
U+34F3	꾜
U+34F4	꾸
U+34F5	꾹
U+34F6	꾼
U+34F7	꿀
U+34F8	꿇
U+34F9	꿈
U+34FA	꿉
U+34FB	꿋
U+34FC	꿍
U+34FD	꿎
U+34FE	꿔
U+34FF	꿜
U+3500	꿨
U+3501	꿩
U+3502	꿰
U+3503	꿱
U+3504	꿴
U+3505	꿸
U+3506	뀀
U+3507	뀁
U+3508	뀄
U+3509	뀌
U+350A	뀐
U+350B	뀔
U+350C	뀜
U+350D	뀝
U+350E	뀨
U+350F	끄
U+3510	끅
U+3511	끈
U+3512	끊
U+3513	끌
U+3514	끎
U+3515	끓
U+3516	끔
U+3517	끕
U+3518	끗
U+3519	끙
U+351A	끝
U+351B	끼
U+351C	끽
U+351D	낀
U+351E	낄
U+351F	낌
U+3520	낍
U+3521	낏
U+3522	낑
U+3523	나
U+3524	낙
U+3525	낚
U+3526	난
U+3527	낟
U+3528	날
U+3529	낡
U+352A	낢
U+352B	남
U+352C	납
U+352D	낫
U+352E	났
U+352F	낭
U+3530	낮
U+3531	낯
U+3532	낱
U+3533	낳
U+3534	내
U+3535	낵
U+3536	낸
U+3537	낼
U+3538	냄
U+3539	냅
U+353A	냇
U+353B	냈
U+353C	냉
U+353D	냐
U+353E	냑
U+353F	냔
U+3540	냘
U+3541	냠
U+3542	냥
U+3543	너
U+3544	넉
U+3545	넋
U+3546	넌
U+3547	널
U+3548	넒
U+3549	넓
U+354A	넘
U+354B	넙
U+354C	넛
U+354D	넜
U+354E	넝
U+354F	넣
U+3550	네
U+3551	넥
U+3552	넨
U+3553	넬
U+3554	넴
U+3555	넵
U+3556	넷
U+3557	넸
U+3558	넹
U+3559	녀
U+355A	녁
U+355B	년
U+355C	녈
U+355D	념
U+355E	녑
U+355F	녔
U+3560	녕
U+3561	녘
U+3562	녜
U+3563	녠
U+3564	노
U+3565	녹
U+3566	논
U+3567	놀
U+3568	놂
U+3569	놈
U+356A	놉
U+356B	놋
U+356C	농
U+356D	높
U+356E	놓
U+356F	놔
U+3570	놘
U+3571	놜
U+3572	놨
U+3573	뇌
U+3574	뇐
U+3575	뇔
U+3576	뇜
U+3577	뇝
U+3578	뇟
U+3579	뇨
U+357A	뇩
U+357B	뇬
U+357C	뇰
U+357D	뇹
U+357E	뇻
U+357F	뇽
U+3580	누
U+3581	눅
U+3582	눈
U+3583	눋
U+3584	눌
U+3585	눔
U+3586	눕
U+3587	눗
U+3588	눙
U+3589	눠
U+358A	눴
U+358B	눼
U+358C	뉘
U+358D	뉜
U+358E	뉠
U+358F	뉨
U+3590	뉩
U+3591	뉴
U+3592	뉵
U+3593	뉼
U+3594	늄
U+3595	늅
U+3596	늉
U+3597	느
U+3598	늑
U+3599	는
U+359A	늘
U+359B	늙
U+359C	늚
U+359D	늠
U+359E	늡
U+359F	늣
U+35A0	능
U+35A1	늦
U+35A2	늪
U+35A3	늬
U+35A4	늰
U+35A5	늴
U+35A6	니
U+35A7	닉
U+35A8	닌
U+35A9	닐
U+35AA	닒
U+35AB	님
U+35AC	닙
U+35AD	닛
U+35AE	닝
U+35AF	닢
U+35B0	다
U+35B1	닥
U+35B2	닦
U+35B3	단
U+35B4	닫
U+35B5	달
U+35B6	닭
U+35B7	닮
U+35B8	닯
U+35B9	닳
U+35BA	담
U+35BB	답
U+35BC	닷
U+35BD	닸
U+35BE	당
U+35BF	닺
U+35C0	닻
U+35C1	닿
U+35C2	대
U+35C3	댁
U+35C4	댄
U+35C5	댈
U+35C6	댐
U+35C7	댑
U+35C8	댓
U+35C9	댔
U+35CA	댕
U+35CB	댜
U+35CC	더
U+35CD	덕
U+35CE	덖
U+35CF	던
U+35D0	덛
U+35D1	덜
U+35D2	덞
U+35D3	덟
U+35D4	덤
U+35D5	덥
U+35D6	덧
U+35D7	덩
U+35D8	덫
U+35D9	덮
U+35DA	데
U+35DB	덱
U+35DC	덴
U+35DD	델
U+35DE	뎀
U+35DF	뎁
U+35E0	뎃
U+35E1	뎄
U+35E2	뎅
U+35E3	뎌
U+35E4	뎐
U+35E5	뎔
U+35E6	뎠
U+35E7	뎡
U+35E8	뎨
U+35E9	뎬
U+35EA	도
U+35EB	독
U+35EC	돈
U+35ED	돋
U+35EE	돌
U+35EF	돎
U+35F0	돐
U+35F1	돔
U+35F2	돕
U+35F3	돗
U+35F4	동
U+35F5	돛
U+35F6	돝
U+35F7	돠
U+35F8	돤
U+35F9	돨
U+35FA	돼
U+35FB	됐
U+35FC	되
U+35FD	된
U+35FE	될
U+35FF	됨
U+3600	됩
U+3601	됫
U+3602	됴
U+3603	두
U+3604	둑
U+3605	둔
U+3606	둘
U+3607	둠
U+3608	둡
U+3609	둣
U+360A	둥
U+360B	둬
U+360C	뒀
U+360D	뒈
U+360E	뒝
U+360F	뒤
U+3610	뒨
U+3611	뒬
U+3612	뒵
U+3613	뒷
U+3614	뒹
U+3615	듀
U+3616	듄
U+3617	듈
U+3618	듐
U+3619	듕
U+361A	드
U+361B	득
U+361C	든
U+361D	듣
U+361E	들
U+361F	듦
U+3620	듬
U+3621	듭
U+3622	듯
U+3623	등
U+3624	듸
U+3625	디
U+3626	딕
U+3627	딘
U+3628	딛
U+3629	딜
U+362A	딤
U+362B	딥
U+362C	딧
U+362D	딨
U+362E	딩
U+362F	딪
U+3630	따
U+3631	딱
U+3632	딴
U+3633	딸
U+3634	땀
U+3635	땁
U+3636	땃
U+3637	땄
U+3638	땅
U+3639	땋
U+363A	때
U+363B	땍
U+363C	땐
U+363D	땔
U+363E	땜
U+363F	땝
U+3640	땟
U+3641	땠
U+3642	땡
U+3643	떠
