Unicode 码位	字符
U+AC00	가
U+AC01	각
U+AC02	갂
U+AC03	갃
U+AC04	간
U+AC05	갅
U+AC06	갆
U+AC07	갇
U+AC08	갈
U+AC09	갉
U+AC0A	갊
U+AC0B	갋
U+AC0C	갌
U+AC0D	갍
U+AC0E	갎
U+AC0F	갏
U+AC10	감
U+AC11	갑
U+AC12	값
U+AC13	갓
U+AC14	갔
U+AC15	강
U+AC16	갖
U+AC17	갗
U+AC18	갘
U+AC19	같
U+AC1A	갚
U+AC1B	갛
U+AC1C	개
U+AC1D	객
U+AC1E	갞
U+AC1F	갟
U+AC20	갠
U+AC21	갡
U+AC22	갢
U+AC23	갣
U+AC24	갤
U+AC25	갥
U+AC26	갦
U+AC27	갧
U+AC28	갨
U+AC29	갩
U+AC2A	갪
U+AC2B	갫
U+AC2C	갬
U+AC2D	갭
U+AC2E	갮
U+AC2F	갯
U+AC30	갰
U+AC31	갱
U+AC32	갲
U+AC33	갳
U+AC34	갴
U+AC35	갵
U+AC36	갶
U+AC37	갷
U+AC38	갸
U+AC39	갹
U+AC3A	갺
U+AC3B	갻
U+AC3C	갼
U+AC3D	갽
U+AC3E	갾
U+AC3F	갿
U+AC40	걀
U+AC41	걁
U+AC42	걂
U+AC43	걃
U+AC44	걄
U+AC45	걅
U+AC46	걆
U+AC47	걇
U+AC48	걈
U+AC49	걉
U+AC4A	걊
U+AC4B	걋
U+AC4C	걌
U+AC4D	걍
U+AC4E	걎
U+AC4F	걏
U+AC50	걐
U+AC51	걑
U+AC52	걒
U+AC53	걓
U+AC54	걔
U+AC55	걕
U+AC56	걖
U+AC57	걗
U+AC58	걘
U+AC59	걙
U+AC5A	걚
U+AC5B	걛
U+AC5C	걜
U+AC5D	걝
U+AC5E	걞
U+AC5F	걟
U+AC60	걠
U+AC61	걡
U+AC62	걢
U+AC63	걣
U+AC64	걤
U+AC65	걥
U+AC66	걦
U+AC67	걧
U+AC68	걨
U+AC69	걩
U+AC6A	걪
U+AC6B	걫
U+AC6C	걬
U+AC6D	걭
U+AC6E	걮
U+AC6F	걯
U+AC70	거
U+AC71	걱
U+AC72	걲
U+AC73	걳
U+AC74	건
U+AC75	걵
U+AC76	걶
U+AC77	걷
U+AC78	걸
U+AC79	걹
U+AC7A	걺
U+AC7B	걻
U+AC7C	걼
U+AC7D	걽
U+AC7E	걾
U+AC7F	걿
U+AC80	검
U+AC81	겁
U+AC82	겂
U+AC83	것
U+AC84	겄
U+AC85	겅
U+AC86	겆
U+AC87	겇
U+AC88	겈
U+AC89	겉
U+AC8A	겊
U+AC8B	겋
U+AC8C	게
U+AC8D	겍
U+AC8E	겎
U+AC8F	겏
U+AC90	겐
U+AC91	겑
U+AC92	겒
U+AC93	겓
U+AC94	겔
U+AC95	겕
U+AC96	겖
U+AC97	겗
U+AC98	겘
U+AC99	겙
U+AC9A	겚
U+AC9B	겛
U+AC9C	겜
U+AC9D	겝
U+AC9E	겞
U+AC9F	겟
U+ACA0	겠
U+ACA1	겡
U+ACA2	겢
U+ACA3	겣
U+ACA4	겤
U+ACA5	겥
U+ACA6	겦
U+ACA7	겧
U+ACA8	겨
U+ACA9	격
U+ACAA	겪
U+ACAB	겫
U+ACAC	견
U+ACAD	겭
U+ACAE	겮
U+ACAF	겯
U+ACB0	결
U+ACB1	겱
U+ACB2	겲
U+ACB3	겳
U+ACB4	겴
U+ACB5	겵
U+ACB6	겶
U+ACB7	겷
U+ACB8	겸
U+ACB9	겹
U+ACBA	겺
U+ACBB	겻
U+ACBC	겼
U+ACBD	경
U+ACBE	겾
U+ACBF	겿
U+ACC0	곀
U+ACC1	곁
U+ACC2	곂
U+ACC3	곃
U+ACC4	계
U+ACC5	곅
U+ACC6	곆
U+ACC7	곇
U+ACC8	곈
U+ACC9	곉
U+ACCA	곊
U+ACCB	곋
U+ACCC	곌
U+ACCD	곍
U+ACCE	곎
U+ACCF	곏
U+ACD0	곐
U+ACD1	곑
U+ACD2	곒
U+ACD3	곓
U+ACD4	곔
U+ACD5	곕
U+ACD6	곖
U+ACD7	곗
U+ACD8	곘
U+ACD9	곙
U+ACDA	곚
U+ACDB	곛
U+ACDC	곜
U+ACDD	곝
U+ACDE	곞
U+ACDF	곟
U+ACE0	고
U+ACE1	곡
U+ACE2	곢
U+ACE3	곣
U+ACE4	곤
U+ACE5	곥
U+ACE6	곦
U+ACE7	곧
U+ACE8	골
U+ACE9	곩
U+ACEA	곪
U+ACEB	곫
U+ACEC	곬
U+ACED	곭
U+ACEE	곮
U+ACEF	곯
U+ACF0	곰
U+ACF1	곱
U+ACF2	곲
U+ACF3	곳
U+ACF4	곴
U+ACF5	공
U+ACF6	곶
U+ACF7	곷
U+ACF8	곸
U+ACF9	곹
U+ACFA	곺
U+ACFB	곻
U+ACFC	과
U+ACFD	곽
U+ACFE	곾
U+ACFF	곿
U+AD00	관
U+AD01	괁
U+AD02	괂
U+AD03	괃
U+AD04	괄
U+AD05	괅
U+AD06	괆
U+AD07	괇
U+AD08	괈
U+AD09	괉
U+AD0A	괊
U+AD0B	괋
U+AD0C	괌
U+AD0D	괍
U+AD0E	괎
U+AD0F	괏
U+AD10	괐
U+AD11	광
U+AD12	괒
U+AD13	괓
U+AD14	괔
U+AD15	괕
U+AD16	괖
U+AD17	괗
U+AD18	괘
U+AD19	괙
U+AD1A	괚
U+AD1B	괛
U+AD1C	괜
U+AD1D	괝
U+AD1E	괞
U+AD1F	괟
U+AD20	괠
U+AD21	괡
U+AD22	괢
U+AD23	괣
U+AD24	괤
U+AD25	괥
U+AD26	괦
U+AD27	괧
U+AD28	괨
U+AD29	괩
U+AD2A	괪
U+AD2B	괫
U+AD2C	괬
U+AD2D	괭
U+AD2E	괮
U+AD2F	괯
U+AD30	괰
U+AD31	괱
U+AD32	괲
U+AD33	괳
U+AD34	괴
U+AD35	괵
U+AD36	괶
U+AD37	괷
U+AD38	괸
U+AD39	괹
U+AD3A	괺
U+AD3B	괻
U+AD3C	괼
U+AD3D	괽
U+AD3E	괾
U+AD3F	괿
U+AD40	굀
U+AD41	굁
U+AD42	굂
U+AD43	굃
U+AD44	굄
U+AD45	굅
U+AD46	굆
U+AD47	굇
U+AD48	굈
U+AD49	굉
U+AD4A	굊
U+AD4B	굋
U+AD4C	굌
U+AD4D	굍
U+AD4E	굎
U+AD4F	굏
U+AD50	교
U+AD51	굑
U+AD52	굒
U+AD53	굓
U+AD54	굔
U+AD55	굕
U+AD56	굖
U+AD57	굗
U+AD58	굘
U+AD59	굙
U+AD5A	굚
U+AD5B	굛
U+AD5C	굜
U+AD5D	굝
U+AD5E	굞
U+AD5F	굟
U+AD60	굠
U+AD61	굡
U+AD62	굢
U+AD63	굣
U+AD64	굤
U+AD65	굥
U+AD66	굦
U+AD67	굧
U+AD68	굨
U+AD69	굩
U+AD6A	굪
U+AD6B	굫
U+AD6C	구
U+AD6D	국
U+AD6E	굮
U+AD6F	굯
U+AD70	군
U+AD71	굱
U+AD72	굲
U+AD73	굳
U+AD74	굴
U+AD75	굵
U+AD76	굶
U+AD77	굷
U+AD78	굸
U+AD79	굹
U+AD7A	굺
U+AD7B	굻
U+AD7C	굼
U+AD7D	굽
U+AD7E	굾
U+AD7F	굿
U+AD80	궀
U+AD81	궁
U+AD82	궂
U+AD83	궃
