伪 UCS 码位	字符
U+AC00	가
U+AC01	각
U+AC02	갃
U+AC03	간
U+AC04	갅
U+AC05	갆
U+AC06	갇
U+AC07	갈
U+AC08	갉
U+AC09	갊
U+AC0A	갋
U+AC0B	갌
U+AC0C	갍
U+AC0D	갎
U+AC0E	갏
U+AC0F	감
U+AC10	갑
U+AC11	값
U+AC12	갓
U+AC13	강
U+AC14	갖
U+AC15	갗
U+AC16	갘
U+AC17	같
U+AC18	갚
U+AC19	갛
U+AC1A	갂
U+AC1B	갔
U+AC1C	갸
U+AC1D	갹
U+AC1E	갻
U+AC1F	갼
U+AC20	갽
U+AC21	갾
U+AC22	갿
U+AC23	걀
U+AC24	걁
U+AC25	걂
U+AC26	걃
U+AC27	걄
U+AC28	걅
U+AC29	걆
U+AC2A	걇
U+AC2B	걈
U+AC2C	걉
U+AC2D	걊
U+AC2E	걋
U+AC2F	걍
U+AC30	걎
U+AC31	걏
U+AC32	걐
U+AC33	걑
U+AC34	걒
U+AC35	걓
U+AC36	갺
U+AC37	걌
U+AC38	거
U+AC39	걱
U+AC3A	걳
U+AC3B	건
U+AC3C	걵
U+AC3D	걶
U+AC3E	걷
U+AC3F	걸
U+AC40	걹
U+AC41	걺
U+AC42	걻
U+AC43	걼
U+AC44	걽
U+AC45	걾
U+AC46	걿
U+AC47	검
U+AC48	겁
U+AC49	겂
U+AC4A	것
U+AC4B	겅
U+AC4C	겆
U+AC4D	겇
U+AC4E	겈
U+AC4F	겉
U+AC50	겊
U+AC51	겋
U+AC52	걲
U+AC53	겄
U+AC54	겨
U+AC55	격
U+AC56	겫
U+AC57	견
U+AC58	겭
U+AC59	겮
U+AC5A	겯
U+AC5B	결
U+AC5C	겱
U+AC5D	겲
U+AC5E	겳
U+AC5F	겴
U+AC60	겵
U+AC61	겶
U+AC62	겷
U+AC63	겸
U+AC64	겹
U+AC65	겺
U+AC66	겻
U+AC67	경
U+AC68	겾
U+AC69	겿
U+AC6A	곀
U+AC6B	곁
U+AC6C	곂
U+AC6D	곃
U+AC6E	겪
U+AC6F	겼
U+AC70	고
U+AC71	곡
U+AC72	곣
U+AC73	곤
U+AC74	곥
U+AC75	곦
U+AC76	곧
U+AC77	골
U+AC78	곩
U+AC79	곪
U+AC7A	곫
U+AC7B	곬
U+AC7C	곭
U+AC7D	곮
U+AC7E	곯
U+AC7F	곰
U+AC80	곱
U+AC81	곲
U+AC82	곳
U+AC83	공
U+AC84	곶
U+AC85	곷
U+AC86	곸
U+AC87	곹
U+AC88	곺
U+AC89	곻
U+AC8A	곢
U+AC8B	곴
U+AC8C	교
U+AC8D	굑
U+AC8E	굓
U+AC8F	굔
U+AC90	굕
U+AC91	굖
U+AC92	굗
U+AC93	굘
U+AC94	굙
U+AC95	굚
U+AC96	굛
U+AC97	굜
U+AC98	굝
U+AC99	굞
U+AC9A	굟
U+AC9B	굠
U+AC9C	굡
U+AC9D	굢
U+AC9E	굣
U+AC9F	굥
U+ACA0	굦
U+ACA1	굧
U+ACA2	굨
U+ACA3	굩
U+ACA4	굪
U+ACA5	굫
U+ACA6	굒
U+ACA7	굤
U+ACA8	구
U+ACA9	국
U+ACAA	굯
U+ACAB	군
U+ACAC	굱
U+ACAD	굲
U+ACAE	굳
U+ACAF	굴
U+ACB0	굵
U+ACB1	굶
U+ACB2	굷
U+ACB3	굸
U+ACB4	굹
U+ACB5	굺
U+ACB6	굻
U+ACB7	굼
U+ACB8	굽
U+ACB9	굾
U+ACBA	굿
U+ACBB	궁
U+ACBC	궂
U+ACBD	궃
U+ACBE	궄
U+ACBF	궅
U+ACC0	궆
U+ACC1	궇
U+ACC2	굮
U+ACC3	궀
U+ACC4	규
U+ACC5	귝
U+ACC6	귟
U+ACC7	균
U+ACC8	귡
U+ACC9	귢
U+ACCA	귣
U+ACCB	귤
U+ACCC	귥
U+ACCD	귦
U+ACCE	귧
U+ACCF	귨
U+ACD0	귩
U+ACD1	귪
U+ACD2	귫
U+ACD3	귬
U+ACD4	귭
U+ACD5	귮
U+ACD6	귯
U+ACD7	귱
U+ACD8	귲
U+ACD9	귳
U+ACDA	귴
U+ACDB	귵
U+ACDC	귶
U+ACDD	귷
U+ACDE	귞
U+ACDF	귰
U+ACE0	그
U+ACE1	극
U+ACE2	귻
U+ACE3	근
U+ACE4	귽
U+ACE5	귾
U+ACE6	귿
U+ACE7	글
U+ACE8	긁
U+ACE9	긂
U+ACEA	긃
U+ACEB	긄
U+ACEC	긅
U+ACED	긆
U+ACEE	긇
U+ACEF	금
U+ACF0	급
U+ACF1	긊
U+ACF2	긋
U+ACF3	긍
U+ACF4	긎
U+ACF5	긏
U+ACF6	긐
U+ACF7	긑
U+ACF8	긒
U+ACF9	긓
U+ACFA	귺
U+ACFB	긌
U+ACFC	기
U+ACFD	긱
U+ACFE	긳
U+ACFF	긴
U+AD00	긵
U+AD01	긶
U+AD02	긷
U+AD03	길
U+AD04	긹
U+AD05	긺
U+AD06	긻
U+AD07	긼
U+AD08	긽
U+AD09	긾
U+AD0A	긿
U+AD0B	김
U+AD0C	깁
U+AD0D	깂
U+AD0E	깃
U+AD0F	깅
U+AD10	깆
U+AD11	깇
U+AD12	깈
U+AD13	깉
U+AD14	깊
U+AD15	깋
U+AD16	긲
U+AD17	깄
U+AD18	개
U+AD19	객
U+AD1A	갟
U+AD1B	갠
U+AD1C	갡
U+AD1D	갢
U+AD1E	갣
U+AD1F	갤
U+AD20	갥
U+AD21	갦
U+AD22	갧
U+AD23	갨
U+AD24	갩
U+AD25	갪
U+AD26	갫
U+AD27	갬
U+AD28	갭
U+AD29	갮
U+AD2A	갯
U+AD2B	갱
U+AD2C	갲
U+AD2D	갳
U+AD2E	갴
U+AD2F	갵
U+AD30	갶
U+AD31	갷
U+AD32	갞
U+AD33	갰
U+AD34	걔
U+AD35	걕
U+AD36	걗
U+AD37	걘
U+AD38	걙
U+AD39	걚
U+AD3A	걛
U+AD3B	걜
U+AD3C	걝
U+AD3D	걞
U+AD3E	걟
U+AD3F	걠
U+AD40	걡
U+AD41	걢
U+AD42	걣
U+AD43	걤
U+AD44	걥
U+AD45	걦
U+AD46	걧
U+AD47	걩
U+AD48	걪
U+AD49	걫
U+AD4A	걬
U+AD4B	걭
U+AD4C	걮
U+AD4D	걯
U+AD4E	걖
U+AD4F	걨
U+AD50	게
U+AD51	겍
U+AD52	겏
U+AD53	겐
U+AD54	겑
U+AD55	겒
U+AD56	겓
U+AD57	겔
U+AD58	겕
U+AD59	겖
U+AD5A	겗
U+AD5B	겘
U+AD5C	겙
U+AD5D	겚
U+AD5E	겛
U+AD5F	겜
U+AD60	겝
U+AD61	겞
U+AD62	겟
U+AD63	겡
U+AD64	겢
U+AD65	겣
U+AD66	겤
U+AD67	겥
U+AD68	겦
U+AD69	겧
U+AD6A	겎
U+AD6B	겠
U+AD6C	계
U+AD6D	곅
U+AD6E	곇
U+AD6F	곈
U+AD70	곉
U+AD71	곊
U+AD72	곋
U+AD73	곌
U+AD74	곍
U+AD75	곎
U+AD76	곏
U+AD77	곐
U+AD78	곑
U+AD79	곒
U+AD7A	곓
U+AD7B	곔
U+AD7C	곕
U+AD7D	곖
U+AD7E	곗
U+AD7F	곙
U+AD80	곚
U+AD81	곛
U+AD82	곜
U+AD83	곝
U+AD84	곞
