黑体字用 [] 表示，小字注解用 () 表示。

通字罗马字	通字汉字及可替代常用字	注释
a	[啊]
á	[嗄]
ae	矮
aec	厄扼軛
aeng	鶯鸚
ah	[阿]
ai	埃唉挨哀
ang	[骯]
ao	襖
aq	盎
au	[坳]
aw	奥懊澳
ay	愛
ba	巴吧杷芭
baa	把
baan	板版
bae	擺
baec	百伯柏迫
baeng	浜
baeq	迸
bag	榜
bah	爸弝霸
bai	[掰]
ban	班頒扳斑
bang	邦
bann	扮
bao	保堡寶飽
baq	謗[磅][鎊]
bat	八
bau	包胞褒
baw	報爆豹
bay	拜
bec	北
been	本
ben	奔
beng	崩綳
beq	[蹦]
berng	[甭]
bey	閉
bha	爬琶扒
bhaa	罷
bhaec	白帛
bhaeng	彭棚
bhaeq	𠊧
bhag	棒蚌
bhai	排牌
bhang	旁膀螃龐
bhann	辦瓣
bhao	抱
bhaq	傍
bhat	拔
bhau	袍
bhaw	暴曝瀑
bhay	敗
bhee	陛
bheen	笨
bhen	盆
bheng	朋
bhet	勃脖餑渤
bhey	敝弊幣蔽斃篦
bhi	皮疲脾枇毘
bhiao	鰾
bhiau	瓢嫖
bhic	愎
bhieen	辨辯辮
bhieg	並
bhien	꜀便駢
bhieng	平評瓶屏
bhienn	便汴卞
bhieq	病
bhiet	别
bhih	避
bhiin	牝
bhin	頻蘋貧
bhing	憑
bhit	弼[鼻]
bho	婆
bhoc	薄泊箔雹
bhoh	薄꜄(～何)
bhon	盤
bhonn	叛拌
bhoon	伴
bhot	鈸跋
bhu	菩蒲葡(～萄)
bhuc	僕
bhue	被婢
bhuei	陪培賠裴
bhuey	[倍]佩
bhuh	步捕埠
bhung	蓬
bhuu	部簿
bhuy	備
bi	[屄]
biao	表婊錶
biau	標
bic	逼
biec	壁璧碧
bieem	貶
bieen	扁匾
bieg	丙秉餅
bien	邊編蝙鞭
bieng	兵
bienn	變遍
bieq	併柄
biet	憋
bih	臂
bii	比鄙
biim	禀
bin	賓檳彬

// 待查
bon	?般
but	?不
cang	?岡
cau	?高
ceae	?解
ceah	?架
ceang	?江
ceau	?交
chaq	?唱
chuh	?處
cien	?堅
cim	?今
ciuet	?決
ciun	?君
coh	?个
cuang	?光
cung	?工
cuu	?古
daa	?打
dag	?黨
daw	?到
de	?的
dhaw	?道
dhih	?地
dhyag	?丈
dhyang	?長
drang	?莊
dzaq	?藏꜄
err	?二
fang	?方
faq	?放
fung	?風
giew	?舊
giuu	?巨
haeng	?行
heah	?下
ia	?呀
iaw	?要
ien	?烟
it	?一
kang	?康
lai	?來
lam	?藍
lang	?郎
le	?了
luh	?路
·ma	?嗎
met	?没
moon	?滿
mu	?模
naa	?哪
nah	?那
nan	?難
nei	?泥
nien	?年
nii	?你
nom	?南
pah	?怕
qieu	?牛
qoo	?我
ren	?人
ru	?如
sei	?西
shiec	?石
shoom	?陝
siao	?小
sieu	?修
sim	?心
sran	?山
te	?它
tieng	?聽
tiet	?鉄
tsao	?草
tung	?通
uan	?彎
vann	?萬
wag	?往
xao	?好
xiang	?香
xonn	?漢
xua	?花
xuang	?荒
yang	?陽
yaq	?樣
yee	?也
yuu	?雨
zay	?再
zeo	?走
zh	?是
zhuh	?樹
