G2-1701	⿰亻当
G2-1702	㑋
G2-1703	侁
G2-1704	侹
G2-1705	佸
G2-1706	侐
G2-1707	侜
G2-1708	佺
G2-1709	佮
G2-1710	佹
G2-1711	侚
G2-1712	⿰亻负
G2-1713	佫
G2-1714	侂
G2-1715	佽
G2-1716	侅
G2-1717	侘
G2-1718	𫝈
G2-1719	侞
G2-1720	㑢
G2-1721	㑙
G2-1722	⿰亻𫇭
G2-1723	⿰亻劳
G2-1724	侼
G2-1725	俉
G2-1726	侸
G2-1727	侲
G2-1728	俫
G2-1729	⿰亻连
G2-1730	㑜
G2-1731	侱
G2-1732	俋
G2-1733	俙
G2-1734	侳
G2-1735	俇
G2-1736	⿰亻闲
G2-1737	侻
G2-1738	俤
G2-1739	俕
G2-1740	俍
G2-1741	俵
G2-1742	倰
G2-1743	倻
G2-1744	倳
G2-1745	⿰亻卖
G2-1746	倷
G2-1747	倴
G2-1748	倢
G2-1749	俶
G2-1750	倠
G2-1751	倄
G2-1752	⿰亻贪
G2-1753	倗
G2-1754	倞
G2-1755	倅
G2-1756	⿰亻单
G2-1757	倓
G2-1758	倧
G2-1759	倇
G2-1760	⿰亻参
G2-1761	偆
G2-1762	偡
G2-1763	偞
G2-1764	偭
G2-1765	偄
G2-1766	㑠
G2-1767	偍
G2-1768	偮
G2-1769	⿰亻贵
G2-1770	偲
G2-1771	偔
G2-1772	偳
G2-1773	偛
G2-1774	偢
G2-1775	偊
G2-1776	偫
G2-1777	偯
G2-1778	𠋆
G2-1779	偙
G2-1780	⿰亻⿳亠马𧘇
G2-1781	傞
G2-1782	偓
G2-1783	傃
G2-1784	傋
G2-1785	傉
G2-1786	傄
G2-1787	偨
G2-1788	⿰亻虑
G2-1789	䖺
G2-1790	翛
G2-1791	傝
G2-1792	⿰亻爱
G2-1793	傗
G2-1794	傔
G2-1801	傛
G2-1802	傕
G2-1803	傿
G2-1804	傮
G2-1805	僄
G2-1806	僈
G2-1807	㒁
G2-1808	傫
G2-1809	傰
G2-1810	僁
G2-1811	傽
G2-1812	傹
G2-1813	㒀
G2-1814	㒈
G2-1815	僇
G2-1816	㑿
G2-1817	㒎
G2-1818	僛
G2-1819	⿲亻丨⿱夂鱼
G2-1820	⿰亻赐
G2-1821	㒄
G2-1822	僯
G2-1823	僔
G2-1824	僒
G2-1825	僝
G2-1826	僎
G2-1827	僜
G2-1828	僪
G2-1829	儚
G2-1830	僸
G2-1831	㒔
G2-1832	僽
G2-1833	僿
G2-1834	儑
G2-1835	㒚
G2-1836	㒊
G2-1837	儤
G2-1838	儦
G2-1839	儠
G2-1840	㒠
G2-1841	㒡
G2-1842	儳
G2-1843	儶
G2-1844	儾
G2-1845	匌
G2-1846	匒
G2-1847	㔨
G2-1848	㔩
G2-1849	匔
G2-1850	⿰几气
G2-1851	㓘
G2-1852	玆
G2-1853	袲
G2-1854	裛
G2-1855	亶
G2-1856	褎
G2-1857	亸
G2-1858	亹
G2-1859	冮
G2-1860	⿰冫仓
G2-1861	凁
G2-1862	㓎
G2-1863	凊
G2-1864	凅
G2-1865	凎
G2-1866	凕
G2-1867	凘
G2-1868	凚
G2-1869	冘
G2-1870	冞
G2-1871	冟
G2-1872	隺
G2-1873	鼏
G2-1874	卬
G2-1875	卲
G2-1876	⿰刀鸟
G2-1877	㗉
G2-1878	㲋
G2-1879	夐
G2-1880	毚
G2-1881	刉
G2-1882	刓
G2-1883	⿰专刂
G2-1884	𠛅
G2-1885	刬
G2-1886	刜
G2-1887	刲
G2-1888	㓤
G2-1889	㓦
G2-1890	㓣
G2-1891	㓢
G2-1892	剈
G2-1893	⿰⿱亼丑刂	# 侴
G2-1894	剚
G2-1901	剠
G2-1902	⿰肃刂
G2-1903	剟
G2-1904	㓳
G2-1905	剬
G2-1906	㓱
G2-1907	剫
G2-1908	㓲
G2-1909	剭
G2-1910	剶
G2-1911	㓹
G2-1912	㓺
G2-1913	𪟎
G2-1914	𠞘
G2-1915	㔆
G2-1916	㔂
G2-1917	㓾
G2-1918	劋
G2-1919	㔊
G2-1920	㔌
G2-1921	㔍
G2-1922	㔏
