GB 12345	Unicode	注释
00	0000
01	0001
02	0002
03	0003
04	0004
05	0005
06	0006
07	0007
08	0008
09	0009
0A	000A
0B	000B
0C	000C
0D	000D
0E	000E
0F	000F
10	0010
11	0011
12	0012
13	0013
14	0014
15	0015
16	0016
17	0017
18	0018
19	0019
1A	001A
1B	001B
1C	001C
1D	001D
1E	001E
1F	001F
20	0020
21	0021
22	0022
23	0023
24	0024
25	0025
26	0026
27	0027
28	0028
29	0029
2A	002A
2B	002B
2C	002C
2D	002D
2E	002E
2F	002F
30	0030
31	0031
32	0032
33	0033
34	0034
35	0035
36	0036
37	0037
38	0038
39	0039
3A	003A
3B	003B
3C	003C
3D	003D
3E	003E
3F	003F
40	0040
41	0041
42	0042
43	0043
44	0044
45	0045
46	0046
47	0047
48	0048
49	0049
4A	004A
4B	004B
4C	004C
4D	004D
4E	004E
4F	004F
50	0050
51	0051
52	0052
53	0053
54	0054
55	0055
56	0056
57	0057
58	0058
59	0059
5A	005A
5B	005B
5C	005C
5D	005D
5E	005E
5F	005F
60	0060
61	0061
62	0062
63	0063
64	0064
65	0065
66	0066
67	0067
68	0068
69	0069
6A	006A
6B	006B
6C	006C
6D	006D
6E	006E
6F	006F
70	0070
71	0071
72	0072
73	0073
74	0074
75	0075
76	0076
77	0077
78	0078
79	0079
7A	007A
7B	007B
7C	007C
7D	007D
7E	007E
7F	007F
A1A1	3000
A1A2	3001
A1A3	3002
A1A4	00B7
A1A5	02C9
A1A6	02C7
A1A7	00A8
A1A8	3003
A1A9	3005
A1AA	2014
A1AB	FF5E
A1AC	2016
A1AD	2026
A1AE	2018
A1AF	2019
A1B0	201C
A1B1	201D
A1B2	3014
A1B3	3015
A1B4	3008
A1B5	3009
A1B6	300A
A1B7	300B
A1B8	300C
A1B9	300D
A1BA	300E
A1BB	300F
A1BC	3016
A1BD	3017
A1BE	3010
A1BF	3011
A1C0	00B1
A1C1	00D7
A1C2	00F7
A1C3	2236
A1C4	2227
A1C5	2228
A1C6	2211
A1C7	220F
A1C8	222A
A1C9	2229
A1CA	2208
A1CB	2237
A1CC	221A
A1CD	22A5
A1CE	2225
A1CF	2220
A1D0	2312
A1D1	2299
A1D2	222B
A1D3	222E
A1D4	2261
A1D5	224C
A1D6	2248
A1D7	223D
A1D8	221D
A1D9	2260
A1DA	226E
A1DB	226F
A1DC	2264
A1DD	2265
A1DE	221E
A1DF	2235
A1E0	2234
A1E1	2642
A1E2	2640
A1E3	00B0
A1E4	2032
A1E5	2033
A1E6	2103
A1E7	FF04
A1E8	00A4
A1E9	FFE0
A1EA	FFE1
A1EB	2030
A1EC	00A7
A1ED	2116
A1EE	2606
A1EF	2605
A1F0	25CB
A1F1	25CF
A1F2	25CE
A1F3	25C7
A1F4	25C6
A1F5	25A1
A1F6	25A0
A1F7	25B3
A1F8	25B2
A1F9	203B
A1FA	2192
A1FB	2190
A1FC	2191
A1FD	2193
A1FE	3013
A2B1	2488
A2B2	2489
A2B3	248A
A2B4	248B
A2B5	248C
A2B6	248D
A2B7	248E
A2B8	248F
A2B9	2490
A2BA	2491
A2BB	2492
A2BC	2493
A2BD	2494
A2BE	2495
A2BF	2496
A2C0	2497
A2C1	2498
A2C2	2499
A2C3	249A
A2C4	249B
A2C5	2474
A2C6	2475
A2C7	2476
A2C8	2477
A2C9	2478
A2CA	2479
A2CB	247A
A2CC	247B
A2CD	247C
A2CE	247D
A2CF	247E
A2D0	247F
A2D1	2480
A2D2	2481
A2D3	2482
A2D4	2483
A2D5	2484
A2D6	2485
A2D7	2486
A2D8	2487
A2D9	2460
A2DA	2461
A2DB	2462
A2DC	2463
A2DD	2464
A2DE	2465
A2DF	2466
A2E0	2467
A2E1	2468
A2E2	2469
A2E5	3220
A2E6	3221
A2E7	3222
A2E8	3223
A2E9	3224
A2EA	3225
A2EB	3226
A2EC	3227
A2ED	3228
A2EE	3229
A2F1	2160
A2F2	2161
A2F3	2162
A2F4	2163
A2F5	2164
A2F6	2165
A2F7	2166
A2F8	2167
A2F9	2168
A2FA	2169
A2FB	216A
A2FC	216B
A3A1	FF01
A3A2	FF02
A3A3	FF03
A3A4	FFE5
A3A5	FF05
A3A6	FF06
A3A7	FF07
A3A8	FF08
A3A9	FF09
A3AA	FF0A
A3AB	FF0B
A3AC	FF0C
A3AD	FF0D
A3AE	FF0E
A3AF	FF0F
A3B0	FF10
A3B1	FF11
A3B2	FF12
A3B3	FF13
A3B4	FF14
A3B5	FF15
A3B6	FF16
A3B7	FF17
A3B8	FF18
A3B9	FF19
A3BA	FF1A
A3BB	FF1B
A3BC	FF1C
A3BD	FF1D
A3BE	FF1E
A3BF	FF1F
A3C0	FF20
A3C1	FF21
A3C2	FF22
A3C3	FF23
A3C4	FF24
A3C5	FF25
A3C6	FF26
A3C7	FF27
A3C8	FF28
A3C9	FF29
A3CA	FF2A
A3CB	FF2B
A3CC	FF2C
A3CD	FF2D
A3CE	FF2E
A3CF	FF2F
A3D0	FF30
A3D1	FF31
A3D2	FF32
A3D3	FF33
A3D4	FF34
A3D5	FF35
A3D6	FF36
A3D7	FF37
A3D8	FF38
A3D9	FF39
A3DA	FF3A
A3DB	FF3B
A3DC	FF3C
A3DD	FF3D
A3DE	FF3E
A3DF	FF3F
A3E0	FF40
A3E1	FF41
A3E2	FF42
A3E3	FF43
A3E4	FF44
A3E5	FF45
A3E6	FF46
A3E7	FF47
A3E8	FF48
A3E9	FF49
A3EA	FF4A
A3EB	FF4B
A3EC	FF4C
A3ED	FF4D
A3EE	FF4E
A3EF	FF4F
A3F0	FF50
A3F1	FF51
A3F2	FF52
A3F3	FF53
A3F4	FF54
A3F5	FF55
A3F6	FF56
A3F7	FF57
A3F8	FF58
A3F9	FF59
A3FA	FF5A
A3FB	FF5B
A3FC	FF5C
A3FD	FF5D
A3FE	FFE3
A4A1	3041
A4A2	3042
A4A3	3043
A4A4	3044
A4A5	3045
A4A6	3046
A4A7	3047
A4A8	3048
A4A9	3049
A4AA	304A
A4AB	304B
A4AC	304C
A4AD	304D
A4AE	304E
A4AF	304F
A4B0	3050
A4B1	3051
A4B2	3052
A4B3	3053
A4B4	3054
A4B5	3055
A4B6	3056
A4B7	3057
A4B8	3058
A4B9	3059
A4BA	305A
A4BB	305B
A4BC	305C
A4BD	305D
A4BE	305E
A4BF	305F
A4C0	3060
A4C1	3061
A4C2	3062
A4C3	3063
A4C4	3064
A4C5	3065
A4C6	3066
A4C7	3067
A4C8	3068
A4C9	3069
A4CA	306A
A4CB	306B
A4CC	306C
A4CD	306D
A4CE	306E
A4CF	306F
A4D0	3070
A4D1	3071
A4D2	3072
A4D3	3073
A4D4	3074
A4D5	3075
A4D6	3076
A4D7	3077
A4D8	3078
A4D9	3079
A4DA	307A
A4DB	307B
A4DC	307C
A4DD	307D
A4DE	307E
A4DF	307F
A4E0	3080
A4E1	3081
A4E2	3082
A4E3	3083
A4E4	3084
A4E5	3085
A4E6	3086
A4E7	3087
A4E8	3088
A4E9	3089
A4EA	308A
A4EB	308B
A4EC	308C
A4ED	308D
A4EE	308E
A4EF	308F
A4F0	3090
A4F1	3091
A4F2	3092
A4F3	3093
A5A1	30A1
A5A2	30A2
A5A3	30A3
A5A4	30A4
A5A5	30A5
A5A6	30A6
A5A7	30A7
A5A8	30A8
A5A9	30A9
A5AA	30AA
A5AB	30AB
A5AC	30AC
A5AD	30AD
A5AE	30AE
A5AF	30AF
A5B0	30B0
A5B1	30B1
A5B2	30B2
A5B3	30B3
A5B4	30B4
A5B5	30B5
A5B6	30B6
A5B7	30B7
A5B8	30B8
A5B9	30B9
A5BA	30BA
A5BB	30BB
A5BC	30BC
A5BD	30BD
A5BE	30BE
A5BF	30BF
A5C0	30C0
A5C1	30C1
A5C2	30C2
A5C3	30C3
A5C4	30C4
A5C5	30C5
A5C6	30C6
A5C7	30C7
A5C8	30C8
A5C9	30C9
A5CA	30CA
A5CB	30CB
A5CC	30CC
A5CD	30CD
A5CE	30CE
A5CF	30CF
A5D0	30D0
A5D1	30D1
A5D2	30D2
A5D3	30D3
A5D4	30D4
A5D5	30D5
A5D6	30D6
A5D7	30D7
A5D8	30D8
A5D9	30D9
A5DA	30DA
A5DB	30DB
A5DC	30DC
A5DD	30DD
A5DE	30DE
A5DF	30DF
A5E0	30E0
A5E1	30E1
A5E2	30E2
A5E3	30E3
A5E4	30E4
A5E5	30E5
A5E6	30E6
A5E7	30E7
A5E8	30E8
A5E9	30E9
A5EA	30EA
A5EB	30EB
A5EC	30EC
A5ED	30ED
A5EE	30EE
A5EF	30EF
A5F0	30F0
A5F1	30F1
A5F2	30F2
A5F3	30F3
A5F4	30F4
A5F5	30F5
A5F6	30F6
A6A1	0391
A6A2	0392
A6A3	0393
A6A4	0394
A6A5	0395
A6A6	0396
A6A7	0397
A6A8	0398
A6A9	0399
A6AA	039A
A6AB	039B
A6AC	039C
A6AD	039D
A6AE	039E
A6AF	039F
A6B0	03A0
A6B1	03A1
A6B2	03A3
A6B3	03A4
A6B4	03A5
A6B5	03A6
A6B6	03A7
A6B7	03A8
A6B8	03A9
A6C1	03B1
A6C2	03B2
A6C3	03B3
A6C4	03B4
A6C5	03B5
A6C6	03B6
A6C7	03B7
A6C8	03B8
A6C9	03B9
A6CA	03BA
A6CB	03BB
A6CC	03BC
A6CD	03BD
A6CE	03BE
A6CF	03BF
A6D0	03C0
A6D1	03C1
A6D2	03C3
A6D3	03C4
A6D4	03C5
A6D5	03C6
A6D6	03C7
A6D7	03C8
A6D8	03C9
A6D9	FE10
A6DA	FE12
A6DB	FE11
A6DC	FE13
A6DD	FE14
A6DE	FE15
A6DF	FE16
A6E0	FE35
A6E1	FE36
A6E2	FE39
A6E3	FE3A
A6E4	FE3F
A6E5	FE40
A6E6	FE3D
A6E7	FE3E
A6E8	FE41
A6E9	FE42
A6EA	FE43
A6EB	FE44
A6EC	FE17
A6ED	FE18
A6EE	FE3B
A6EF	FE3C
A6F0	FE37
A6F1	FE38
A6F2	FE31
A6F3	FE19
A6F4	FE33
A6F5	FE34
A7A1	0410
A7A2	0411
A7A3	0412
A7A4	0413
A7A5	0414
A7A6	0415
A7A7	0401
A7A8	0416
A7A9	0417
A7AA	0418
A7AB	0419
A7AC	041A
A7AD	041B
A7AE	041C
A7AF	041D
A7B0	041E
A7B1	041F
A7B2	0420
A7B3	0421
A7B4	0422
A7B5	0423
A7B6	0424
A7B7	0425
A7B8	0426
A7B9	0427
A7BA	0428
A7BB	0429
A7BC	042A
A7BD	042B
A7BE	042C
A7BF	042D
A7C0	042E
A7C1	042F
A7D1	0430
A7D2	0431
A7D3	0432
A7D4	0433
A7D5	0434
A7D6	0435
A7D7	0451
A7D8	0436
A7D9	0437
A7DA	0438
A7DB	0439
A7DC	043A
A7DD	043B
A7DE	043C
A7DF	043D
A7E0	043E
A7E1	043F
A7E2	0440
A7E3	0441
A7E4	0442
A7E5	0443
A7E6	0444
A7E7	0445
A7E8	0446
A7E9	0447
A7EA	0448
A7EB	0449
A7EC	044A
A7ED	044B
A7EE	044C
A7EF	044D
A7F0	044E
A7F1	044F
A8A1	0101
A8A2	00E1
A8A3	01CE
A8A4	00E0
A8A5	0113
A8A6	00E9
A8A7	011B
A8A8	00E8
A8A9	012B
A8AA	00ED
A8AB	01D0
A8AC	00EC
A8AD	014D
A8AE	00F3
A8AF	01D2
A8B0	00F2
A8B1	016B
A8B2	00FA
A8B3	01D4
A8B4	00F9
A8B5	01D6
A8B6	01D8
A8B7	01DA
A8B8	01DC
A8B9	00FC
A8BA	00EA
A8BB	0251
A8BC	1E3F
A8BD	0144
A8BE	0148
A8BF	01F9
A8C0	0261
A8C5	3105
A8C6	3106
A8C7	3107
A8C8	3108
A8C9	3109
A8CA	310A
A8CB	310B
A8CC	310C
A8CD	310D
A8CE	310E
A8CF	310F
A8D0	3110
A8D1	3111
A8D2	3112
A8D3	3113
A8D4	3114
A8D5	3115
A8D6	3116
A8D7	3117
A8D8	3118
A8D9	3119
A8DA	311A
A8DB	311B
A8DC	311C
A8DD	311D
A8DE	311E
A8DF	311F
A8E0	3120
A8E1	3121
A8E2	3122
A8E3	3123
A8E4	3124
A8E5	3125
A8E6	3126
A8E7	3127
A8E8	3128
A8E9	3129
A9A4	2500
A9A5	2501
A9A6	2502
A9A7	2503
A9A8	2504
A9A9	2505
A9AA	2506
A9AB	2507
A9AC	2508
A9AD	2509
A9AE	250A
A9AF	250B
A9B0	250C
A9B1	250D
A9B2	250E
A9B3	250F
A9B4	2510
A9B5	2511
A9B6	2512
A9B7	2513
A9B8	2514
A9B9	2515
A9BA	2516
A9BB	2517
A9BC	2518
A9BD	2519
A9BE	251A
A9BF	251B
A9C0	251C
A9C1	251D
A9C2	251E
A9C3	251F
A9C4	2520
A9C5	2521
A9C6	2522
A9C7	2523
A9C8	2524
A9C9	2525
A9CA	2526
A9CB	2527
A9CC	2528
A9CD	2529
A9CE	252A
A9CF	252B
A9D0	252C
A9D1	252D
A9D2	252E
A9D3	252F
A9D4	2530
A9D5	2531
A9D6	2532
A9D7	2533
A9D8	2534
A9D9	2535
A9DA	2536
A9DB	2537
A9DC	2538
A9DD	2539
A9DE	253A
A9DF	253B
A9E0	253C
A9E1	253D
A9E2	253E
A9E3	253F
A9E4	2540
A9E5	2541
A9E6	2542
A9E7	2543
A9E8	2544
A9E9	2545
A9EA	2546
A9EB	2547
A9EC	2548
A9ED	2549
A9EE	254A
A9EF	254B
B0A1	554A
B0A2	963F
B0A3	57C3
B0A4	6328
B0A5	54CE
B0A6	5509
B0A7	54C0
B0A8	769A
B0A9	764C
B0AA	85F9
B0AB	77EE
B0AC	827E
B0AD	7919
B0AE	611B
B0AF	9698
B0B0	978D
B0B1	6C28
B0B2	5B89
B0B3	4FFA
B0B4	6309
B0B5	6697
B0B6	5CB8
B0B7	80FA
B0B8	6848
B0B9	9AAF
B0BA	6602
B0BB	76CE
B0BC	51F9
B0BD	6556
B0BE	71AC
B0BF	7FF1
B0C0	8956
B0C1	50B2
B0C2	5965
B0C3	61CA
B0C4	6FB3
B0C5	82AD
B0C6	634C
B0C7	6252
B0C8	53ED
B0C9	5427
B0CA	7B06
B0CB	516B
B0CC	75A4
B0CD	5DF4
B0CE	62D4
B0CF	8DCB
B0D0	9776
B0D1	628A
B0D2	8019
B0D3	58E9
B0D4	9738
B0D5	7F77
B0D6	7238
B0D7	767D
B0D8	67CF
B0D9	767E
B0DA	64FA
B0DB	4F70
B0DC	6557
B0DD	62DC
B0DE	7A17
B0DF	6591
B0E0	73ED
B0E1	642C
B0E2	6273
B0E3	822C
B0E4	9812
B0E5	677F
B0E6	7248
B0E7	626E
B0E8	62CC
B0E9	4F34
B0EA	74E3
B0EB	534A
B0EC	8FA6
B0ED	7D46
B0EE	90A6
B0EF	5E6B
B0F0	6886
B0F1	699C
B0F2	8180
B0F3	7D81
B0F4	68D2
B0F5	78C5
B0F6	868C
B0F7	938A
B0F8	508D
B0F9	8B17
B0FA	82DE
B0FB	80DE
B0FC	5305
B0FD	8912
B0FE	5265
B1A1	8584
B1A2	96F9
B1A3	4FDD
B1A4	5821
B1A5	98FD
B1A6	5BF6
B1A7	62B1
B1A8	5831
B1A9	66B4
B1AA	8C79
B1AB	9B91
B1AC	7206
B1AD	676F
B1AE	7891
B1AF	60B2
B1B0	5351
B1B1	5317
B1B2	8F29
B1B3	80CC
B1B4	8C9D
B1B5	92C7
B1B6	500D
B1B7	72FD
B1B8	5099
B1B9	618A
B1BA	7119
B1BB	88AB
B1BC	5954
B1BD	82EF
B1BE	672C
B1BF	7B28
B1C0	5D29
B1C1	7DB3
B1C2	752D
B1C3	6CF5
B1C4	8E66
B1C5	8FF8
B1C6	903C
B1C7	9F3B
B1C8	6BD4
B1C9	9119
B1CA	7B46
B1CB	5F7C
B1CC	78A7
B1CD	84D6
B1CE	853D
B1CF	7562
B1D0	6583
B1D1	6BD6
B1D2	5E63
B1D3	5E87
B1D4	75F9
B1D5	9589
B1D6	655D
B1D7	5F0A
B1D8	5FC5
B1D9	8F9F
B1DA	58C1
B1DB	81C2
B1DC	907F
B1DD	965B
B1DE	97AD
B1DF	908A
B1E0	7DE8
B1E1	8CB6
B1E2	6241
B1E3	4FBF
B1E4	8B8A
B1E5	535E
B1E6	8FA8
B1E7	8FAF
B1E8	8FAE
B1E9	904D
B1EA	6A19
B1EB	5F6A
B1EC	8198
B1ED	8868
B1EE	9C49
B1EF	618B
B1F0	522B
B1F1	765F
B1F2	5F6C
B1F3	658C
B1F4	7015
B1F5	6FF1
B1F6	8CD3
B1F7	64EF
B1F8	5175
B1F9	51B0
B1FA	67C4
B1FB	4E19
B1FC	79C9
B1FD	9905
B1FE	70B3
B2A1	75C5
B2A2	5E76
B2A3	73BB
B2A4	83E0
