UCS	GB/T 12345	注释
0000	00
0001	01
0002	02
0003	03
0004	04
0005	05
0006	06
0007	07
0008	08
0009	09
000A	0A
000B	0B
000C	0C
000D	0D
000E	0E
000F	0F
0010	10
0011	11
0012	12
0013	13
0014	14
0015	15
0016	16
0017	17
0018	18
0019	19
001A	1A
001B	1B
001C	1C
001D	1D
001E	1E
001F	1F
0020	20
0021	21
0022	22
0023	23
0024	24
0025	25
0026	26
0027	27
0028	28
0029	29
002A	2A
002B	2B
002C	2C
002D	2D
002E	2E
002F	2F
0030	30
0031	31
0032	32
0033	33
0034	34
0035	35
0036	36
0037	37
0038	38
0039	39
003A	3A
003B	3B
003C	3C
003D	3D
003E	3E
003F	3F
0040	40
0041	41
0042	42
0043	43
0044	44
0045	45
0046	46
0047	47
0048	48
0049	49
004A	4A
004B	4B
004C	4C
004D	4D
004E	4E
004F	4F
0050	50
0051	51
0052	52
0053	53
0054	54
0055	55
0056	56
0057	57
0058	58
0059	59
005A	5A
005B	5B
005C	5C
005D	5D
005E	5E
005F	5F
0060	60
0061	61
0062	62
0063	63
0064	64
0065	65
0066	66
0067	67
0068	68
0069	69
006A	6A
006B	6B
006C	6C
006D	6D
006E	6E
006F	6F
0070	70
0071	71
0072	72
0073	73
0074	74
0075	75
0076	76
0077	77
0078	78
0079	79
007A	7A
007B	7B
007C	7C
007D	7D
007E	7E
007F	7F
00A4	A1E8
00A7	A1EC
00A8	A1A7
00B0	A1E3
00B1	A1C0
00B7	A1A4
00D7	A1C1
00E0	A8A4
00E1	A8A2
00E8	A8A8
00E9	A8A6
00EA	A8BA
00EC	A8AC
00ED	A8AA
00F2	A8B0
00F3	A8AE
00F7	A1C2
00F9	A8B4
00FA	A8B2
00FC	A8B9
0101	A8A1
0113	A8A5
011B	A8A7
012B	A8A9
0144	A8BD
0148	A8BE
014D	A8AD
016B	A8B1
01CE	A8A3
01D0	A8AB
01D2	A8AF
01D4	A8B3
01D6	A8B5
01D8	A8B6
01DA	A8B7
01DC	A8B8
01F9	A8BF
0251	A8BB
0261	A8C0
02C7	A1A6
02C9	A1A5
0391	A6A1
0392	A6A2
0393	A6A3
0394	A6A4
0395	A6A5
0396	A6A6
0397	A6A7
0398	A6A8
0399	A6A9
039A	A6AA
039B	A6AB
039C	A6AC
039D	A6AD
039E	A6AE
039F	A6AF
03A0	A6B0
03A1	A6B1
03A3	A6B2
03A4	A6B3
03A5	A6B4
03A6	A6B5
03A7	A6B6
03A8	A6B7
03A9	A6B8
03B1	A6C1
03B2	A6C2
03B3	A6C3
03B4	A6C4
03B5	A6C5
03B6	A6C6
03B7	A6C7
03B8	A6C8
03B9	A6C9
03BA	A6CA
03BB	A6CB
03BC	A6CC
03BD	A6CD
03BE	A6CE
03BF	A6CF
03C0	A6D0
03C1	A6D1
03C3	A6D2
03C4	A6D3
03C5	A6D4
03C6	A6D5
03C7	A6D6
03C8	A6D7
03C9	A6D8
0401	A7A7
0410	A7A1
0411	A7A2
0412	A7A3
0413	A7A4
0414	A7A5
0415	A7A6
0416	A7A8
0417	A7A9
0418	A7AA
0419	A7AB
041A	A7AC
041B	A7AD
041C	A7AE
041D	A7AF
041E	A7B0
041F	A7B1
0420	A7B2
0421	A7B3
