GB/T 12345	UCS	注释
0101	3000
0102	3001
0103	3002
0104	00B7
0105	02C9
0106	02C7
0107	00A8
0108	3003
0109	3005
010A	2014
010B	FF5E
010C	2016
010D	2026
010E	2018
010F	2019
0110	201C
0111	201D
0112	3014
0113	3015
0114	3008
0115	3009
0116	300A
0117	300B
0118	300C
0119	300D
011A	300E
011B	300F
011C	3016
011D	3017
011E	3010
011F	3011
0120	00B1
0121	00D7
0122	00F7
0123	2236
0124	2227
0125	2228
0126	2211
0127	220F
0128	222A
0129	2229
012A	2208
012B	2237
012C	221A
012D	22A5
012E	2225
012F	2220
0130	2312
0131	2299
0132	222B
0133	222E
0134	2261
0135	224C
0136	2248
0137	223D
0138	221D
0139	2260
013A	226E
013B	226F
013C	2264
013D	2265
013E	221E
013F	2235
0140	2234
0141	2642
0142	2640
0143	00B0
0144	2032
0145	2033
0146	2103
0147	FF04
0148	00A4
0149	FFE0
014A	FFE1
014B	2030
014C	00A7
014D	2116
014E	2606
014F	2605
0150	25CB
0151	25CF
0152	25CE
0153	25C7
0154	25C6
0155	25A1
0156	25A0
0157	25B3
0158	25B2
0159	203B
015A	2192
015B	2190
015C	2191
015D	2193
015E	3013
0211	2488
0212	2489
0213	248A
0214	248B
0215	248C
0216	248D
0217	248E
0218	248F
0219	2490
021A	2491
021B	2492
021C	2493
021D	2494
021E	2495
021F	2496
0220	2497
0221	2498
0222	2499
0223	249A
0224	249B
0225	2474
0226	2475
0227	2476
0228	2477
0229	2478
022A	2479
022B	247A
022C	247B
022D	247C
022E	247D
022F	247E
0230	247F
0231	2480
0232	2481
0233	2482
0234	2483
0235	2484
0236	2485
0237	2486
0238	2487
0239	2460
023A	2461
023B	2462
023C	2463
023D	2464
023E	2465
023F	2466
0240	2467
0241	2468
0242	2469
0245	3220
0246	3221
0247	3222
0248	3223
0249	3224
024A	3225
024B	3226
024C	3227
024D	3228
024E	3229
0251	2160
0252	2161
0253	2162
0254	2163
0255	2164
0256	2165
0257	2166
0258	2167
0259	2168
025A	2169
025B	216A
025C	216B
0301	FF01
0302	FF02
0303	FF03
0304	FFE5
0305	FF05
0306	FF06
0307	FF07
0308	FF08
0309	FF09
030A	FF0A
030B	FF0B
030C	FF0C
030D	FF0D
030E	FF0E
030F	FF0F
0310	FF10
0311	FF11
0312	FF12
0313	FF13
0314	FF14
0315	FF15
0316	FF16
0317	FF17
0318	FF18
0319	FF19
031A	FF1A
031B	FF1B
031C	FF1C
031D	FF1D
031E	FF1E
031F	FF1F
0320	FF20
0321	FF21
0322	FF22
0323	FF23
0324	FF24
0325	FF25
0326	FF26
0327	FF27
0328	FF28
0329	FF29
