Unicode	GB/T 2312	注释
00A4	2168
00A7	216C
00A8	2127
00B0	2163
00B1	2140
00B7	2124
00D7	2141
00E0	2824
00E1	2822
00E8	2828
00E9	2826
00EA	283A
00EC	282C
00ED	282A
00F2	2830
00F3	282E
00F7	2142
00F9	2834
00FA	2832
00FC	2839
0101	2821
0113	2825
011B	2827
012B	2829
014D	282D
016B	2831
01CE	2823
01D0	282B
01D2	282F
01D4	2833
01D6	2835
01D8	2836
01DA	2837
01DC	2838
02C7	2126
02C9	2125
0391	2621
0392	2622
0393	2623
0394	2624
0395	2625
0396	2626
0397	2627
0398	2628
0399	2629
039A	262A
039B	262B
039C	262C
039D	262D
039E	262E
039F	262F
03A0	2630
03A1	2631
03A3	2632
03A4	2633
03A5	2634
03A6	2635
03A7	2636
03A8	2637
03A9	2638
03B1	2641
03B2	2642
03B3	2643
03B4	2644
03B5	2645
03B6	2646
03B7	2647
03B8	2648
03B9	2649
03BA	264A
03BB	264B
03BC	264C
03BD	264D
03BE	264E
03BF	264F
03C0	2650
03C1	2651
03C3	2652
03C4	2653
03C5	2654
03C6	2655
03C7	2656
03C8	2657
03C9	2658
0401	2727
0410	2721
0411	2722
0412	2723
0413	2724
0414	2725
0415	2726
0416	2728
0417	2729
0418	272A
0419	272B
041A	272C
041B	272D
041C	272E
041D	272F
041E	2730
041F	2731
0420	2732
0421	2733
0422	2734
0423	2735
0424	2736
0425	2737
0426	2738
0427	2739
0428	273A
0429	273B
042A	273C
042B	273D
042C	273E
042D	273F
042E	2740
042F	2741
0430	2751
0431	2752
0432	2753
0433	2754
0434	2755
0435	2756
0436	2758
0437	2759
0438	275A
0439	275B
043A	275C
043B	275D
043C	275E
043D	275F
043E	2760
043F	2761
0440	2762
0441	2763
0442	2764
0443	2765
0444	2766
0445	2767
0446	2768
0447	2769
0448	276A
0449	276B
044A	276C
044B	276D
044C	276E
044D	276F
044E	2770
044F	2771
0451	2757
2014	212A
2016	212C
2018	212E
2019	212F
201C	2130
201D	2131
2026	212D
2030	216B
2032	2164
2033	2165
203B	2179
2103	2166
2116	216D
2160	2271
2161	2272
2162	2273
2163	2274
2164	2275
2165	2276
2166	2277
2167	2278
2168	2279
2169	227A
216A	227B
216B	227C
2190	217B
2191	217C
2192	217A
2193	217D
2208	214A
220F	2147
2211	2146
221A	214C
221D	2158
221E	215E
2220	214F
2225	214E
2227	2144
2228	2145
2229	2149
222A	2148
222B	2152
222E	2153
2234	2160
2235	215F
2236	2143
2237	214B
223D	2157
2248	2156
224C	2155
2260	2159
2261	2154
2264	215C
2265	215D
226E	215A
226F	215B
2299	2151
22A5	214D
2312	2150
2460	2259
2461	225A
2462	225B
2463	225C
2464	225D
2465	225E
2466	225F
2467	2260
2468	2261
2469	2262
2474	2245
2475	2246
2476	2247
2477	2248
2478	2249
2479	224A
247A	224B
247B	224C
247C	224D
247D	224E
247E	224F
247F	2250
2480	2251
2481	2252
2482	2253
2483	2254
2484	2255
2485	2256
2486	2257
2487	2258
2488	2231
2489	2232
248A	2233
248B	2234
248C	2235
248D	2236
248E	2237
248F	2238
2490	2239
2491	223A
2492	223B
2493	223C
2494	223D
2495	223E
2496	223F
2497	2240
2498	2241
2499	2242
249A	2243
249B	2244
2500	2924
2501	2925
2502	2926
2503	2927
2504	2928
2505	2929
2506	292A
2507	292B
2508	292C
2509	292D
250A	292E
250B	292F
250C	2930
250D	2931
250E	2932
250F	2933
2510	2934
2511	2935
2512	2936
2513	2937
2514	2938
2515	2939
2516	293A
2517	293B
2518	293C
2519	293D
251A	293E
251B	293F
251C	2940
251D	2941
251E	2942
251F	2943
2520	2944
2521	2945
2522	2946
2523	2947
2524	2948
2525	2949
2526	294A
2527	294B
2528	294C
2529	294D
252A	294E
252B	294F
252C	2950
252D	2951
252E	2952
252F	2953
2530	2954
2531	2955
2532	2956
2533	2957
2534	2958
2535	2959
2536	295A
2537	295B
2538	295C
2539	295D
253A	295E
253B	295F
253C	2960
253D	2961
253E	2962
253F	2963
2540	2964
2541	2965
2542	2966
2543	2967
2544	2968
