JIS X 0201	UCS	注释
00	0000
01	0001
02	0002
03	0003
04	0004
05	0005
06	0006
07	0007
08	0008
09	0009
0A	000A
0B	000B
0C	000C
0D	000D
0E	000E
0F	000F
10	0010
11	0011
12	0012
13	0013
14	0014
15	0015
16	0016
17	0017
18	0018
19	0019
1A	001A
1B	001B
1C	001C
1D	001D
1E	001E
1F	001F
20	0020
21	0021
22	0022
23	0023
24	0024
25	0025
26	0026
27	0027
28	0028
29	0029
2A	002A
2B	002B
2C	002C
2D	002D
2E	002E
2F	002F
30	0030
31	0031
32	0032
33	0033
34	0034
35	0035
36	0036
37	0037
38	0038
39	0039
3A	003A
3B	003B
3C	003C
3D	003D
3E	003E
3F	003F
40	0040
41	0041
42	0042
43	0043
44	0044
45	0045
46	0046
47	0047
48	0048
49	0049
4A	004A
4B	004B
4C	004C
4D	004D
4E	004E
4F	004F
50	0050
51	0051
52	0052
53	0053
54	0054
55	0055
56	0056
57	0057
58	0058
59	0059
5A	005A
5B	005B
5C	00A5	「\」被替换成「¥」。
5D	005D
5E	005E
5F	005F
60	0060
61	0061
62	0062
63	0063
64	0064
65	0065
66	0066
67	0067
68	0068
69	0069
6A	006A
6B	006B
6C	006C
6D	006D
6E	006E
6F	006F
70	0070
71	0071
72	0072
73	0073
74	0074
75	0075
76	0076
77	0077
78	0078
79	0079
7A	007A
7B	007B
7C	007C
7D	007D
7E	203E	「~」被替换成「‾」。
7F	007F
82	0082
83	0083
85	0085
86	0086
87	0087
88	0088
89	0089
8A	008A
8B	008B
8C	008C
8D	008D
8E	008E
8F	008F
90	0090
91	0091
92	0092
93	0093
94	0094
95	0095
96	0096
97	0097
98	0098
9A	009A
9B	009B
9C	009C
9D	009D
9E	009E
9F	009F
A1	FF61
A2	FF62
A3	FF63
A4	FF64
A5	FF65
A6	FF66
A7	FF67
A8	FF68
A9	FF69
AA	FF6A
AB	FF6B
AC	FF6C
AD	FF6D
AE	FF6E
AF	FF6F
B0	FF70
B1	FF71
B2	FF72
B3	FF73
B4	FF74
B5	FF75
B6	FF76
B7	FF77
B8	FF78
B9	FF79
BA	FF7A
BB	FF7B
BC	FF7C
BD	FF7D
BE	FF7E
BF	FF7F
C0	FF80
C1	FF81
C2	FF82
C3	FF83
C4	FF84
C5	FF85
C6	FF86
C7	FF87
C8	FF88
C9	FF89
CA	FF8A
CB	FF8B
CC	FF8C
CD	FF8D
CE	FF8E
CF	FF8F
D0	FF90
D1	FF91
D2	FF92
D3	FF93
D4	FF94
D5	FF95
D6	FF96
D7	FF97
D8	FF98
D9	FF99
DA	FF9A
DB	FF9B
DC	FF9C
DD	FF9D
DE	FF9E
DF	FF9F
