UCS	JIS X 0201	注释
0000	00
0001	01
0002	02
0003	03
0004	04
0005	05
0006	06
0007	07
0008	08
0009	09
000A	0A
000B	0B
000C	0C
000D	0D
000E	0E
000F	0F
0010	10
0011	11
0012	12
0013	13
0014	14
0015	15
0016	16
0017	17
0018	18
0019	19
001A	1A
001B	1B
001C	1C
001D	1D
001E	1E
001F	1F
0020	20
0021	21
0022	22
0023	23
0024	24
0025	25
0026	26
0027	27
0028	28
0029	29
002A	2A
002B	2B
002C	2C
002D	2D
002E	2E
002F	2F
0030	30
0031	31
0032	32
0033	33
0034	34
0035	35
0036	36
0037	37
0038	38
0039	39
003A	3A
003B	3B
003C	3C
003D	3D
003E	3E
003F	3F
0040	40
0041	41
0042	42
0043	43
0044	44
0045	45
0046	46
0047	47
0048	48
0049	49
004A	4A
004B	4B
004C	4C
004D	4D
004E	4E
004F	4F
0050	50
0051	51
0052	52
0053	53
0054	54
0055	55
0056	56
0057	57
0058	58
0059	59
005A	5A
005B	5B
005D	5D
005E	5E
005F	5F
0060	60
0061	61
0062	62
0063	63
0064	64
0065	65
0066	66
0067	67
0068	68
0069	69
006A	6A
006B	6B
006C	6C
006D	6D
006E	6E
006F	6F
0070	70
0071	71
0072	72
0073	73
0074	74
0075	75
0076	76
0077	77
0078	78
0079	79
007A	7A
007B	7B
007C	7C
007D	7D
007F	7F
0082	82
0083	83
0085	85
0086	86
0087	87
0088	88
0089	89
008A	8A
008B	8B
008C	8C
008D	8D
008E	8E
008F	8F
0090	90
0091	91
0092	92
0093	93
0094	94
0095	95
0096	96
0097	97
0098	98
009A	9A
009B	9B
009C	9C
009D	9D
009E	9E
009F	9F
00A5	5C	「\」被替换成「¥」。
203E	7E	「~」被替换成「‾」。
FF61	A1
FF62	A2
FF63	A3
FF64	A4
FF65	A5
FF66	A6
FF67	A7
FF68	A8
FF69	A9
FF6A	AA
FF6B	AB
FF6C	AC
FF6D	AD
FF6E	AE
FF6F	AF
FF70	B0
FF71	B1
FF72	B2
FF73	B3
FF74	B4
FF75	B5
FF76	B6
FF77	B7
FF78	B8
FF79	B9
FF7A	BA
FF7B	BB
FF7C	BC
FF7D	BD
FF7E	BE
FF7F	BF
FF80	C0
FF81	C1
FF82	C2
FF83	C3
FF84	C4
FF85	C5
FF86	C6
FF87	C7
FF88	C8
FF89	C9
FF8A	CA
FF8B	CB
FF8C	CC
FF8D	CD
FF8E	CE
FF8F	CF
FF90	D0
FF91	D1
FF92	D2
FF93	D3
FF94	D4
FF95	D5
FF96	D6
FF97	D7
FF98	D8
FF99	D9
FF9A	DA
FF9B	DB
FF9C	DC
FF9D	DD
FF9E	DE
FF9F	DF
