KPS 9566	UCS	注释
00	0000
01	0001
02	0002
03	0003
04	0004
05	0005
06	0006
07	0007
08	0008
09	0009
0A	000A
0B	000B
0C	000C
0D	000D
0E	000E
0F	000F
10	0010
11	0011
12	0012
13	0013
14	0014
15	0015
16	0016
17	0017
18	0018
19	0019
1A	001A
1B	001B
1C	001C
1D	001D
1E	001E
1F	001F
20	0020
21	0021
22	0022
23	0023
24	0024
25	0025
26	0026
27	0027
28	0028
29	0029
2A	002A
2B	002B
2C	002C
2D	002D
2E	002E
2F	002F
30	0030
31	0031
32	0032
33	0033
34	0034
35	0035
36	0036
37	0037
38	0038
39	0039
3A	003A
3B	003B
3C	003C
3D	003D
3E	003E
3F	003F
40	0040
41	0041
42	0042
43	0043
44	0044
45	0045
46	0046
47	0047
48	0048
49	0049
4A	004A
4B	004B
4C	004C
4D	004D
4E	004E
4F	004F
50	0050
51	0051
52	0052
53	0053
54	0054
55	0055
56	0056
57	0057
58	0058
59	0059
5A	005A
5B	005B
5C	005C
5D	005D
5E	005E
5F	005F
60	0060
61	0061
62	0062
63	0063
64	0064
65	0065
66	0066
67	0067
68	0068
69	0069
6A	006A
6B	006B
6C	006C
6D	006D
6E	006E
6F	006F
70	0070
71	0071
72	0072
73	0073
74	0074
75	0075
76	0076
77	0077
78	0078
79	0079
7A	007A
7B	007B
7C	007C
7D	007D
7E	007E
7F	007F
A1A1	3000
A1A2	3001
A1A3	3002
A1A4	FF0C
A1A5	FF0E
A1A6	00B7
A1A7	FF1A
A1A8	FF1B
A1A9	FF1F
A1AA	FF01
A1AB	2025
A1AC	2026
A1AD	FF5E
A1AE	3003
A1AF	2015
A1B0	2010
A1B1	FF3F
A1B2	FFE3
A1B3	FF0F
A1B4	FF3C
A1B5	FF5C
A1B6	2225
A1B7	2215
A1B8	2216
A1B9	309B
A1BA	309C
A1BB	00B4
A1BC	FF40
A1BD	00A8
A1BE	FF3E
A1BF	02C7
A1C0	02D9
A1C1	FE10
A1C2	FE12
A1C3	FE11
A1C4	22EE
A1C5	2E2F	实为竖排的「～」。
A1C6	2018
A1C7	2019
A1C8	201C
A1C9	201D
A1CA	FF08
A1CB	FF09
A1CC	3014
A1CD	3015
A1CE	FF3B
A1CF	FF3D
A1D0	FF5B
A1D1	FF5D
A1D2	3008
A1D3	3009
A1D4	300A
A1D5	300B
A1D6	300C
A1D7	300D
A1D8	300E
A1D9	300F
A1DA	3010
A1DB	3011
A1DC	F105
A1DD	F106
A1DE	201A
A1DF	201B
A1E0	201E
A1E1	201F
A1E2	FE35
A1E3	FE36
A1E4	FE39
A1E5	FE3A
A1E6	FE47
A1E7	FE48
A1E8	FE37
A1E9	FE38
A1EA	FE3F
A1EB	FE40
A1EC	FE3D
A1ED	FE3E
A1EE	FE41
A1EF	FE42
A1F0	FE43
A1F1	FE44
A1F2	FE3B
A1F3	FE3C
A2A1	FF0B
A2A2	FF0D
A2A3	00B1
A2A4	00D7
A2A5	00F7
A2A6	FF1D
A2A7	2260
A2A8	FF1C
A2A9	FF1E
A2AA	2266
A2AB	2267
A2AC	221E
A2AD	2234
A2AE	2642
A2AF	2640
A2B0	2220
A2B1	22A5
A2B2	2312
A2B3	2202
A2B4	2207
A2B5	2261
A2B6	2252
A2B7	2248
A2B8	226A
A2B9	226B
A2BA	221A
A2BB	223D
A2BC	221D
A2BD	2235
A2BE	222B
A2BF	222C
A2C0	222E
A2C1	2208
A2C2	220B
A2C3	2286
A2C4	2287
A2C5	2282
A2C6	2283
A2C7	2209
A2C8	220C
A2C9	2288
A2CA	2289
A2CB	2284
A2CC	2285
A2CD	222A
A2CE	2229
A2CF	2227
A2D0	2228
A2D1	FFE2
A2D2	21D2
A2D3	21D4
A2D4	2200
A2D5	2203
A2D6	2211
A2D7	FF03
A2D8	FF06
A2D9	FF0A
A2DA	FF20
A2DB	00A7
A2DC	203B
A2DD	2606
A2DE	2605
A2DF	25CB
A2E0	25CF
A2E1	25CE
A2E2	25C7
A2E3	25C6
A2E4	25A1
A2E5	25A0
A2E6	25B3
A2E7	25B2
A2E8	25BD
A2E9	25BC
A2EA	25B7
A2EB	25C1
A2EC	25B6
A2ED	25C0
A2EE	2218
A2EF	2219
A2F0	2756
A2F1	F10D
A2F2	F10E
A2F3	F10F
A2F4	F110
A2F5	2690
A2F6	2691
A2F7	266F
A2F8	266D
A2F9	266A
A2FA	2020
A2FB	2021
A2FC	00B6
A2FD	2295
A2FE	2296
A3B0	FF10
A3B1	FF11
A3B2	FF12
A3B3	FF13
A3B4	FF14
A3B5	FF15
A3B6	FF16
A3B7	FF17
A3B8	FF18
A3B9	FF19
A3C1	FF21
A3C2	FF22
A3C3	FF23
A3C4	FF24
A3C5	FF25
A3C6	FF26
A3C7	FF27
A3C8	FF28
A3C9	FF29
A3CA	FF2A
A3CB	FF2B
A3CC	FF2C
A3CD	FF2D
A3CE	FF2E
A3CF	FF2F
A3D0	FF30
A3D1	FF31
A3D2	FF32
A3D3	FF33
A3D4	FF34
A3D5	FF35
A3D6	FF36
A3D7	FF37
A3D8	FF38
A3D9	FF39
A3DA	FF3A
A3E1	FF41
A3E2	FF42
A3E3	FF43
A3E4	FF44
A3E5	FF45
A3E6	FF46
A3E7	FF47
A3E8	FF48
A3E9	FF49
A3EA	FF4A
A3EB	FF4B
A3EC	FF4C
A3ED	FF4D
A3EE	FF4E
A3EF	FF4F
A3F0	FF50
A3F1	FF51
A3F2	FF52
A3F3	FF53
A3F4	FF54
A3F5	FF55
A3F6	FF56
A3F7	FF57
A3F8	FF58
A3F9	FF59
A3FA	FF5A
A4A1	3131
A4A2	3134
A4A3	3137
A4A4	3139
A4A5	3141
A4A6	3142
A4A7	3145
A4A8	3147
A4A9	3148
A4AA	314A
A4AB	314B
A4AC	314C
A4AD	314D
A4AE	314E
A4AF	3132
A4B0	3138
A4B1	3143
A4B2	3146
A4B3	3149
A4B4	314F
A4B5	3151
A4B6	3153
A4B7	3155
A4B8	3157
A4B9	315B
A4BA	315C
A4BB	3160
A4BC	3161
A4BD	3163
A4BE	3150
A4BF	3152
A4C0	3154
A4C1	3156
A4C2	315A
A4C3	315F
A4C4	3162
A4C5	3158
A4C6	315D
A4C7	3159
A4C8	315E
A4C9	3133
A4CA	3135
A4CB	3136
A4CC	313A
A4CD	313B
A4CE	313C
A4CF	313D
A4D0	313E
A4D1	313F
A4D2	3140
A4D3	3144
A4D4	317F
A4D5	3181
A4D6	3186
A4D7	318D
A4D8	113C
A4D9	113D
A4DA	113E
A4DB	113F
A4DC	114E
A4DD	114F
A4DE	1150
A4DF	1151
A4E0	1154
A4E1	1155
A4E8	F113
A4E9	F114
A4EA	F115
A4EB	F116
A4EC	F117
A4ED	F118
A4EE	F120
A4EF	F121
A4F0	F122
A5A1	0410
A5A2	0411
A5A3	0412
A5A4	0413
A5A5	0414
A5A6	0415
A5A7	0401
A5A8	0416
A5A9	0417
A5AA	0418
A5AB	0419
A5AC	041A
A5AD	041B
A5AE	041C
A5AF	041D
A5B0	041E
A5B1	041F
A5B2	0420
A5B3	0421
A5B4	0422
A5B5	0423
A5B6	0424
A5B7	0425
A5B8	0426
A5B9	0427
A5BA	0428
A5BB	0429
A5BC	042A
A5BD	042B
A5BE	042C
A5BF	042D
A5C0	042E
A5C1	042F
A5D1	0430
A5D2	0431
A5D3	0432
A5D4	0433
A5D5	0434
A5D6	0435
A5D7	0451
A5D8	0436
A5D9	0437
A5DA	0438
A5DB	0439
A5DC	043A
A5DD	043B
A5DE	043C
A5DF	043D
A5E0	043E
A5E1	043F
A5E2	0440
A5E3	0441
A5E4	0442
A5E5	0443
A5E6	0444
A5E7	0445
A5E8	0446
A5E9	0447
A5EA	0448
A5EB	0449
A5EC	044A
A5ED	044B
A5EE	044C
A5EF	044D
A5F0	044E
A5F1	044F
A6A1	0391
A6A2	0392
A6A3	0393
A6A4	0394
A6A5	0395
A6A6	0396
A6A7	0397
A6A8	0398
A6A9	0399
A6AA	039A
A6AB	039B
A6AC	039C
A6AD	039D
A6AE	039E
A6AF	039F
A6B0	03A0
A6B1	03A1
A6B2	03A3
A6B3	03A4
A6B4	03A5
A6B5	03A6
A6B6	03A7
A6B7	03A8
A6B8	03A9
A6C1	03B1
A6C2	03B2
A6C3	03B3
A6C4	03B4
A6C5	03B5
A6C6	03B6
A6C7	03B7
A6C8	03B8
A6C9	03B9
A6CA	03BA
A6CB	03BB
A6CC	03BC
A6CD	03BD
A6CE	03BE
A6CF	03BF
A6D0	03C0
A6D1	03C1
A6D2	03C3
A6D3	03C4
A6D4	03C5
A6D5	03C6
A6D6	03C7
A6D7	03C8
A6D8	03C9
A6E1	2160
A6E2	2161
A6E3	2162
A6E4	2163
A6E5	2164
A6E6	2165
A6E7	2166
A6E8	2167
A6E9	2168
A6EA	2169
A6F1	2170
A6F2	2171
A6F3	2172
A6F4	2173
A6F5	2174
A6F6	2175
A6F7	2176
A6F8	2177
A6F9	2178
A6FA	2179
A7A1	2460
A7A2	2461
A7A3	2462
A7A4	2463
A7A5	2464
A7A6	2465
A7A7	2466
A7A8	2467
A7A9	2468
A7AA	2469
A7AB	246A
A7AC	246B
A7AD	246C
A7AE	246D
A7AF	246E
A7B0	246F
A7B1	2470
A7B2	2471
A7B3	2472
A7B4	2473
A7B5	3251
A7B6	3252
A7B7	3253
A7B8	3254
A7B9	3255
A7BA	3256
A7BB	3257
A7BC	3258
A7BD	3259
A7BE	325A
A7C1	3260
A7C2	3261
A7C3	3262
A7C4	3263
A7C5	3264
A7C6	3265
A7C7	3266
A7C8	3267
A7C9	3268
A7CA	3269
A7CB	326A
A7CC	326B
A7CD	326C
A7CE	326D
A7D1	326E
A7D2	326F
A7D3	3270
A7D4	3271
A7D5	3272
A7D6	3273
A7D7	3274
A7D8	3275
A7D9	3276
A7DA	3277
A7DB	3278
A7DC	3279
A7DD	327A
A7DE	327B
A7E0	2070
A7E1	00B9
A7E2	00B2
A7E3	00B3
A7E4	2074
A7E5	2075
A7E6	2076
A7E7	2077
A7E8	2078
A7E9	2079
A7EA	00BD
A7EB	2153
A7EC	2154
A7ED	00BC
A7EE	00BE
A7F0	2080
A7F1	2081
A7F2	2082
A7F3	2083
A7F4	2084
A7F5	2085
A7F6	2086
A7F7	2087
A7F8	2088
A7F9	2089
A7FA	F119
A7FB	F11A
A7FC	F11B
A7FD	F11C
A7FE	F11D
A8A1	00B0
A8A2	2032
A8A3	2033
A8A4	2103
A8A5	2109
A8A6	20AC
A8A7	FFE6
A8A8	FF04
A8A9	FFE0
A8AA	FFE1
A8AB	FFE5
A8AC	FF05
A8AD	2030
A8AE	212B
A8AF	33C4
A8B0	33A1
A8B1	33A5
A8B2	339D
A8B3	33A0
A8B4	33A4
A8B5	339C
A8B6	339F
A8B7	33A3
A8B8	3377
A8B9	3378
A8BA	3379
A8BB	339E
A8BC	33A2
A8BD	33A6
A8BE	3399
A8BF	339A
A8C0	339B
A8C1	33A7
A8C2	33A8
A8C3	338D
A8C4	338E
A8C5	338F
A8C6	33B4
A8C7	33B5
A8C8	33B6
A8C9	33B7
A8CA	33B8
A8CB	33B9
A8CC	3380
A8CD	3381
A8CE	3382
A8CF	3383
A8D0	3384
A8D1	33BA
A8D2	33BB
A8D3	33BC
A8D4	33BD
A8D5	33BE
A8D6	33BF
A8D7	2126
A8D8	33C0
A8D9	33C1
A8DA	3390
A8DB	3391
A8DC	3392
A8DD	3393
A8DE	3394
A8DF	33DE
A8E0	33DF
A8E1	33B0
A8E2	33B1
A8E3	33B2
A8E4	33B3
A8E5	338A
A8E6	338B
A8E7	338C
A8E8	33A9
A8E9	33AA
A8EA	33AB
A8EB	33AC
A8EC	2113
A8ED	3395
A8EE	3396
A8EF	3397
A8F0	3398
A8F1	33FF
A8F2	3388
A8F3	3389
A8F4	33AD
A8F5	33AE
A8F6	33AF
A8F7	32CC
A8F8	33DD
A8F9	33C8
A8FA	32CD
A8FB	32CE
A8FC	33D6
A8FD	33CB
A8FE	33CA
A9A1	2500
A9A2	2502
A9A3	250C
A9A4	2510
A9A5	2518
A9A6	2514
A9A7	251C
A9A8	252C
A9A9	2524
A9AA	2534
A9AB	253C
A9AC	2501
A9AD	2503
A9AE	250F
A9AF	2513
A9B0	251B
A9B1	2517
A9B2	2523
A9B3	2533
A9B4	252B
A9B5	253B
A9B6	254B
A9B7	2520
A9B8	252F
A9B9	2528
A9BA	2537
A9BB	253F
A9BC	251D
A9BD	2530
A9BE	2525
A9BF	2538
A9C0	2542
A9C1	2512
A9C2	2511
A9C3	251A
A9C4	2519
A9C5	2516
A9C6	2515
A9C7	250E
A9C8	250D
A9C9	251E
A9CA	251F
A9CB	2521
A9CC	2522
A9CD	2526
A9CE	2527
A9CF	2529
A9D0	252A
A9D1	252D
A9D2	252E
A9D3	2531
A9D4	2532
A9D5	2535
A9D6	2536
A9D7	2539
A9D8	253A
A9D9	253D
A9DA	253E
A9DB	2540
A9DC	2541
A9DD	2543
A9DE	2544
A9DF	2545
A9E0	2546
A9E1	2547
A9E2	2548
A9E3	2549
A9E4	254A
AAA1	3041
AAA2	3042
AAA3	3043
AAA4	3044
AAA5	3045
AAA6	3046
AAA7	3047
AAA8	3048
AAA9	3049
AAAA	304A
AAAB	304B
AAAC	304C
AAAD	304D
AAAE	304E
AAAF	304F
AAB0	3050
AAB1	3051
AAB2	3052
AAB3	3053
AAB4	3054
AAB5	3055
AAB6	3056
AAB7	3057
AAB8	3058
AAB9	3059
AABA	305A
AABB	305B
AABC	305C
AABD	305D
AABE	305E
AABF	305F
AAC0	3060
AAC1	3061
AAC2	3062
AAC3	3063
AAC4	3064
AAC5	3065
AAC6	3066
AAC7	3067
AAC8	3068
AAC9	3069
AACA	306A
AACB	306B
AACC	306C
AACD	306D
AACE	306E
AACF	306F
AAD0	3070
AAD1	3071
AAD2	3072
AAD3	3073
AAD4	3074
AAD5	3075
AAD6	3076
AAD7	3077
AAD8	3078
AAD9	3079
AADA	307A
AADB	307B
AADC	307C
AADD	307D
AADE	307E
AADF	307F
AAE0	3080
AAE1	3081
AAE2	3082
AAE3	3083
AAE4	3084
AAE5	3085
AAE6	3086
AAE7	3087
AAE8	3088
AAE9	3089
AAEA	308A
AAEB	308B
AAEC	308C
AAED	308D
AAEE	308E
AAEF	308F
AAF0	3090
AAF1	3091
AAF2	3092
AAF3	3093
ABA1	30A1
ABA2	30A2
ABA3	30A3
ABA4	30A4
ABA5	30A5
ABA6	30A6
ABA7	30A7
ABA8	30A8
ABA9	30A9
ABAA	30AA
ABAB	30AB
ABAC	30AC
ABAD	30AD
ABAE	30AE
ABAF	30AF
ABB0	30B0
ABB1	30B1
ABB2	30B2
ABB3	30B3
ABB4	30B4
ABB5	30B5
ABB6	30B6
ABB7	30B7
ABB8	30B8
ABB9	30B9
ABBA	30BA
ABBB	30BB
ABBC	30BC
ABBD	30BD
ABBE	30BE
ABBF	30BF
ABC0	30C0
ABC1	30C1
ABC2	30C2
ABC3	30C3
ABC4	30C4
ABC5	30C5
ABC6	30C6
ABC7	30C7
ABC8	30C8
ABC9	30C9
ABCA	30CA
ABCB	30CB
ABCC	30CC
ABCD	30CD
ABCE	30CE
ABCF	30CF
ABD0	30D0
ABD1	30D1
ABD2	30D2
ABD3	30D3
ABD4	30D4
ABD5	30D5
ABD6	30D6
ABD7	30D7
ABD8	30D8
ABD9	30D9
ABDA	30DA
ABDB	30DB
ABDC	30DC
ABDD	30DD
ABDE	30DE
ABDF	30DF
ABE0	30E0
ABE1	30E1
ABE2	30E2
ABE3	30E3
ABE4	30E4
ABE5	30E5
ABE6	30E6
ABE7	30E7
ABE8	30E8
ABE9	30E9
ABEA	30EA
ABEB	30EB
ABEC	30EC
ABED	30ED
ABEE	30EE
ABEF	30EF
ABF0	30F0
ABF1	30F1
ABF2	30F2
ABF3	30F3
ABF4	30F4
ABF5	30F5
ABF6	30F6
ACA1	F127
ACA2	F128
ACA3	235F
ACA4	2600
ACA5	2602
ACA6	2614
ACA7	2601
ACA8	2744
ACA9	26A1
ACAA	26A0
ACAB	2116
ACAC	2192
ACAD	2190
ACAE	2191
ACAF	2193
ACB0	2197
ACB1	2196
ACB2	2198
ACB3	2199
ACB4	2194
ACB5	2195
ACB6	21E8
ACB7	21E6
ACB8	21E7
ACB9	21E9
ACBA	2B00
ACBB	2B01
ACBC	2B02
ACBD	2B03
ACBE	2B04
ACBF	21F3
ACC0	27A1
ACC1	2B05
ACC2	2B06
ACC3	2B07
ACC4	2B08
ACC5	2B09
ACC6	2B0A
ACC7	2B0B
ACC8	2B0C
ACC9	2B0D
ACCA	2663
ACCB	2665
ACCC	2660
ACCD	2666
ACCE	3012
ACD0	260F
ACD1	260E
ACD2	23CE
ACD3	F13B
ACD4	F13C
ACD5	F13D
ACD6	2615
