KPS 9566	UCS	注释
00	0000
01	0001
02	0002
03	0003
04	0004
05	0005
06	0006
07	0007
08	0008
09	0009
0A	000A
0B	000B
0C	000C
0D	000D
0E	000E
0F	000F
10	0010
11	0011
12	0012
13	0013
14	0014
15	0015
16	0016
17	0017
18	0018
19	0019
1A	001A
1B	001B
1C	001C
1D	001D
1E	001E
1F	001F
20	0020
21	0021
22	0022
23	0023
24	0024
25	0025
26	0026
27	0027
28	0028
29	0029
2A	002A
2B	002B
2C	002C
2D	002D
2E	002E
2F	002F
30	0030
31	0031
32	0032
33	0033
34	0034
35	0035
36	0036
37	0037
38	0038
39	0039
3A	003A
3B	003B
3C	003C
3D	003D
3E	003E
3F	003F
40	0040
41	0041
42	0042
43	0043
44	0044
45	0045
46	0046
47	0047
48	0048
49	0049
4A	004A
4B	004B
4C	004C
4D	004D
4E	004E
4F	004F
50	0050
51	0051
52	0052
53	0053
54	0054
55	0055
56	0056
57	0057
58	0058
59	0059
5A	005A
5B	005B
5C	005C
5D	005D
5E	005E
5F	005F
60	0060
61	0061
62	0062
63	0063
64	0064
65	0065
66	0066
67	0067
68	0068
69	0069
6A	006A
6B	006B
6C	006C
6D	006D
6E	006E
6F	006F
70	0070
71	0071
72	0072
73	0073
74	0074
75	0075
76	0076
77	0077
78	0078
79	0079
7A	007A
7B	007B
7C	007C
7D	007D
7E	007E
7F	007F
8141	AC03
8142	AC05
8143	AC06
8144	AC0B
8145	AC0C
8146	AC0D
8147	AC0E
8148	AC0F
8149	AC18
814A	AC02
814B	AC3B
814C	AC3D
814D	AC3E
814E	AC3F
814F	AC41
8150	AC42
8151	AC43
8152	AC44
8153	AC45
8154	AC46
8155	AC47
8156	AC49
8157	AC4A
8158	AC4E
8159	AC4F
815A	AC50
8161	AC51
8162	AC52
8163	AC53
8164	AC3A
8165	AC4C
8166	AC73
8167	AC75
8168	AC76
8169	AC7B
816A	AC7C
816B	AC7D
816C	AC7E
816D	AC7F
816E	AC82
816F	AC87
8170	AC88
8171	AC72
8172	ACAB
8173	ACAD
8174	ACAE
8175	ACB1
8176	ACB2
8177	ACB3
8178	ACB4
8179	ACB5
817A	ACB6
8181	ACB7
8182	ACBA
8183	ACBE
8184	ACBF
8185	ACC0
8186	ACC2
8187	ACC3
8188	ACE3
8189	ACE5
818A	ACE6
818B	ACE9
818C	ACEB
818D	ACED
818E	ACEE
818F	ACF2
8190	ACF7
8191	ACF8
8192	ACF9
8193	ACFB
8194	ACE2
8195	ACF4
8196	AD51
8197	AD53
8198	AD55
8199	AD56
819A	AD57
819B	AD59
819C	AD5A
819D	AD5B
819E	AD5C
819F	AD5D
81A0	AD5E
81A1	AD5F
81A2	AD60
81A3	AD62
81A4	AD65
81A5	AD66
81A6	AD67
81A7	AD68
81A8	AD69
81A9	AD6A
81AA	AD6B
81AB	AD52
81AC	AD64
81AD	AD6F
81AE	AD71
81AF	AD72
81B0	AD77
81B1	AD78
81B2	AD79
81B3	AD7A
81B4	AD7E
81B5	AD83
81B6	AD84
81B7	AD85
81B8	AD86
81B9	AD87
81BA	AD6E
81BB	AD80
81BC	ADDD
81BD	ADDF
81BE	ADE1
81BF	ADE2
81C0	ADE3
81C1	ADE5
81C2	ADE6
81C3	ADE7
81C4	ADE8
81C5	ADE9
81C6	ADEA
81C7	ADEB
81C8	ADED
81C9	ADEE
81CA	ADEF
81CB	ADF2
81CC	ADF3
81CD	ADF4
81CE	ADF5
81CF	ADF6
81D0	ADF7
81D1	ADDE
81D2	ADF0
81D3	ADFB
81D4	ADFD
81D5	ADFE
81D6	AE02
81D7	AE03
81D8	AE04
81D9	AE05
81DA	AE06
81DB	AE0A
81DC	AE0E
81DD	AE0F
81DE	AE10
81DF	AE11
81E0	AE12
81E1	AE13
81E2	ADFA
81E3	AE0C
81E4	AE33
81E5	AE35
81E6	AE36
81E7	AE39
81E8	AE3B
81E9	AE3C
81EA	AE3D
81EB	AE3E
81EC	AE3F
81ED	AE42
81EE	AE48
81EF	AE4B
81F0	AE32
81F1	AE44
81F2	AC1F
81F3	AC21
81F4	AC22
81F5	AC23
81F6	AC25
81F7	AC26
81F8	AC27
81F9	AC28
81FA	AC29
81FB	AC2A
81FC	AC2B
81FD	AC2E
81FE	AC32
8241	AC33
8242	AC34
8243	AC35
8244	AC36
8245	AC37
8246	AC1E
8247	AC55
8248	AC57
8249	AC59
824A	AC5A
824B	AC5B
824C	AC5D
824D	AC5E
824E	AC5F
824F	AC60
8250	AC61
8251	AC62
8252	AC63
8253	AC64
8254	AC65
8255	AC66
8256	AC67
8257	AC69
8258	AC6A
8259	AC6B
825A	AC6C
8261	AC6D
8262	AC6E
8263	AC6F
8264	AC56
8265	AC68
8266	AC8F
8267	AC91
8268	AC92
8269	AC93
826A	AC95
826B	AC96
826C	AC97
826D	AC98
826E	AC99
826F	AC9A
8270	AC9B
8271	AC9E
8272	ACA2
8273	ACA3
8274	ACA4
8275	ACA5
8276	ACA6
8277	ACA7
8278	AC8E
8279	ACC5
827A	ACC7
8281	ACC9
8282	ACCA
8283	ACCB
8284	ACCD
8285	ACCE
8286	ACCF
8287	ACD0
8288	ACD1
8289	ACD2
828A	ACD3
828B	ACD4
828C	ACD6
828D	ACD9
828E	ACDA
828F	ACDB
8290	ACDC
8291	ACDD
8292	ACDE
8293	ACDF
8294	ACC6
8295	ACD8
8296	AD37
8297	AD39
8298	AD3A
8299	AD3B
829A	AD3D
829B	AD3E
829C	AD3F
829D	AD40
829E	AD41
829F	AD42
82A0	AD43
82A1	AD46
82A2	AD4A
82A3	AD4B
82A4	AD4C
82A5	AD4D
82A6	AD4E
82A7	AD4F
82A8	AD36
82A9	ADC3
82AA	ADC5
82AB	ADC6
82AC	ADC7
82AD	ADC9
82AE	ADCA
82AF	ADCB
82B0	ADCC
82B1	ADCD
82B2	ADCE
82B3	ADCF
82B4	ADD2
82B5	ADD5
82B6	ADD6
82B7	ADD7
82B8	ADD8
82B9	ADD9
82BA	ADDA
82BB	ADDB
82BC	ADC2
82BD	ADD4
82BE	AE15
82BF	AE17
82C0	AE18
82C1	AE19
82C2	AE1A
82C3	AE1B
82C4	AE1C
82C5	AE1D
82C6	AE1E
82C7	AE1F
82C8	AE20
82C9	AE21
82CA	AE22
82CB	AE23
82CC	AE24
82CD	AE25
82CE	AE26
82CF	AE27
82D0	AE29
82D1	AE2A
82D2	AE2B
82D3	AE2C
82D4	AE2D
82D5	AE2E
82D6	AE2F
82D7	AE16
82D8	AE28
82D9	ACFF
82DA	AD01
82DB	AD02
82DC	AD05
82DD	AD07
82DE	AD08
82DF	AD09
82E0	AD0A
82E1	AD0B
82E2	AD0E
82E3	AD12
82E4	AD13
82E5	AD14
82E6	AD15
82E7	AD16
82E8	AD17
82E9	ACFE
82EA	AD8B
82EB	AD8D
82EC	AD8E
82ED	AD8F
82EE	AD91
82EF	AD92
82F0	AD93
82F1	AD94
82F2	AD95
82F3	AD96
82F4	AD97
82F5	AD99
82F6	AD9A
82F7	AD9B
82F8	AD9E
82F9	AD9F
82FA	ADA0
82FB	ADA1
82FC	ADA2
82FD	ADA3
82FE	AD8A
8341	AD1B
8342	AD1D
8343	AD1E
8344	AD1F
8345	AD21
8346	AD22
8347	AD23
8348	AD24
8349	AD25
834A	AD26
834B	AD27
834C	AD28
834D	AD2A
834E	AD2B
834F	AD2E
8350	AD2F
8351	AD30
8352	AD31
8353	AD32
8354	AD33
8355	AD1A
8356	ADA7
8357	ADA8
8358	ADA9
8359	ADAA
835A	ADAB
8361	ADAC
8362	ADAD
8363	ADAE
8364	ADAF
8365	ADB0
8366	ADB1
8367	ADB2
8368	ADB3
8369	ADB4
836A	ADB5
836B	ADB6
836C	ADB9
836D	ADBA
836E	ADBB
836F	ADBC
8370	ADBD
8371	ADBE
8372	ADBF
8373	ADA6
8374	ADB8
8375	B09D
8376	B09E
8377	B0A3
8378	B0A4
8379	B0A5
837A	B0A6
8381	B0A7
8382	B0AA
8383	B0B0
8384	B0B2
8385	B0D3
8386	B0D5
8387	B0D6
8388	B0D7
8389	B0D9
838A	B0DA
838B	B0DB
838C	B0DC
838D	B0DD
838E	B0DE
838F	B0DF
8390	B0E2
8391	B0E3
8392	B0E6
8393	B0E7
8394	B0E8
8395	B0E9
8396	B0EA
8397	B0EB
8398	B0D2
8399	B0E4
839A	B10D
839B	B10E
839C	B10F
839D	B111
839E	B114
839F	B115
83A0	B116
83A1	B117
83A2	B11A
83A3	B11E
83A4	B11F
83A5	B120
83A6	B121
83A7	B143
83A8	B145
83A9	B146
83AA	B147
83AB	B149
83AC	B14A
83AD	B14B
83AE	B14C
83AF	B14D
83B0	B14E
83B1	B14F
83B2	B152
83B3	B156
83B4	B157
83B5	B159
83B6	B15A
83B7	B15B
83B8	B142
83B9	B17B
83BA	B17D
83BB	B17E
83BC	B17F
83BD	B181
83BE	B183
83BF	B184
83C0	B185
83C1	B186
83C2	B187
83C3	B18A
83C4	B18E
83C5	B18F
83C6	B190
83C7	B191
83C8	B17A
83C9	B18C
83CA	B1EB
83CB	B1ED
83CC	B1EE
83CD	B1EF
83CE	B1F1
83CF	B1F2
83D0	B1F3
83D1	B1F4
83D2	B1F5
83D3	B1F6
83D4	B1F7
83D5	B1FA
83D6	B1FE
83D7	B1FF
83D8	B200
83D9	B201
83DA	B202
83DB	B203
83DC	B1EA
83DD	B1FC
83DE	B207
83DF	B209
83E0	B20A
83E1	B20D
83E2	B20E
83E3	B20F
83E4	B210
83E5	B211
83E6	B212
83E7	B213
83E8	B216
83E9	B21A
83EA	B21B
83EB	B21C
83EC	B21D
83ED	B21F
83EE	B206
83EF	B218
83F0	B277
83F1	B279
83F2	B27A
83F3	B27B
83F4	B27D
83F5	B27E
83F6	B27F
83F7	B280
83F8	B281
83F9	B282
83FA	B283
83FB	B286
83FC	B287
83FD	B28A
83FE	B28B
8441	B28C
8442	B28D
8443	B28E
8444	B28F
8445	B276
8446	B288
8447	B293
8448	B295
8449	B296
844A	B297
844B	B29B
844C	B29C
844D	B29D
844E	B29E
844F	B29F
8450	B2A2
8451	B2A7
8452	B2A8
8453	B2A9
8454	B2AB
8455	B292
8456	B2A4
8457	B2CB
8458	B2CD
8459	B2CE
845A	B2CF
8461	B2D1
8462	B2D3
8463	B2D4
8464	B2D5
8465	B2D6
8466	B2D7
8467	B2DA
8468	B2DE
8469	B2DF
846A	B2E0
846B	B2E1
846C	B2E3
846D	B2CA
846E	B2DC
846F	B0B7
8470	B0B9
8471	B0BA
8472	B0BB
8473	B0BD
8474	B0BE
8475	B0BF
8476	B0C0
8477	B0C1
8478	B0C2
8479	B0C3
847A	B0C6
8481	B0CA
8482	B0CB
8483	B0CC
8484	B0CD
8485	B0CE
8486	B0CF
8487	B0B6
8488	B0ED
8489	B0EF
848A	B0F0
848B	B0F1
848C	B0F2
848D	B0F3
848E	B0F4
848F	B0F5
8490	B0F6
8491	B0F7
8492	B0F8
8493	B0F9
8494	B0FA
8495	B0FB
8496	B0FC
8497	B0FD
8498	B0FE
8499	B0FF
849A	B101
849B	B102
849C	B103
849D	B104
849E	B105
849F	B106
84A0	B107
84A1	B0EE
84A2	B100
84A3	B127
84A4	B129
84A5	B12A
84A6	B12B
84A7	B12D
84A8	B12E
84A9	B12F
84AA	B130
84AB	B131
84AC	B132
84AD	B133
84AE	B136
84AF	B13A
84B0	B13B
84B1	B13C
84B2	B13D
84B3	B13E
84B4	B13F
84B5	B126
84B6	B15D
84B7	B15F
84B8	B161
84B9	B162
84BA	B163
84BB	B164
84BC	B165
84BD	B166
84BE	B167
84BF	B168
84C0	B169
84C1	B16A
84C2	B16B
84C3	B16C
84C4	B16D
84C5	B16E
84C6	B16F
84C7	B171
84C8	B172
84C9	B173
84CA	B174
84CB	B175
84CC	B176
84CD	B177
84CE	B15E
84CF	B170
84D0	B1CD
84D1	B1CF
84D2	B1D1
84D3	B1D2
84D4	B1D3
84D5	B1D5
84D6	B1D6
84D7	B1D7
84D8	B1D8
84D9	B1D9
84DA	B1DA
84DB	B1DB
84DC	B1DE
84DD	B1E1
84DE	B1E2
84DF	B1E3
84E0	B1E4
84E1	B1E5
84E2	B1E6
84E3	B1E7
84E4	B1CE
84E5	B1E0
84E6	B259
84E7	B25B
84E8	B25D
84E9	B25E
84EA	B25F
84EB	B261
84EC	B262
84ED	B263
84EE	B264
84EF	B265
84F0	B266
84F1	B267
84F2	B26A
84F3	B26B
84F4	B26E
84F5	B26F
84F6	B270
84F7	B271
84F8	B272
84F9	B273
84FA	B25A
84FB	B26C
84FC	B2AD
84FD	B2AF
84FE	B2B1
8541	B2B2
8542	B2B3
8543	B2B5
8544	B2B6
8545	B2B7
8546	B2B8
8547	B2B9
8548	B2BA
8549	B2BB
854A	B2BD
854B	B2BE
854C	B2BF
854D	B2C2
854E	B2C3
854F	B2C4
8550	B2C5
8551	B2C6
8552	B2C7
8553	B2AE
8554	B2C0
8555	B195
8556	B197
8557	B199
8558	B19A
8559	B19B
855A	B19D
8561	B19E
8562	B19F
8563	B1A0
8564	B1A1
8565	B1A2
8566	B1A3
8567	B1A4
8568	B1A5
8569	B1A6
856A	B1A9
856B	B1AA
856C	B1AB
856D	B1AC
856E	B1AD
856F	B1AE
8570	B1AF
8571	B196
8572	B221
8573	B223
8574	B224
8575	B225
8576	B226
8577	B227
8578	B229
8579	B22A
857A	B22B
8581	B22C
8582	B22D
8583	B22E
8584	B22F
8585	B230
8586	B231
8587	B232
8588	B235
8589	B236
858A	B237
858B	B238
858C	B239
858D	B23A
858E	B23B
858F	B222
8590	B1B1
8591	B1B3
8592	B1B4
8593	B1B5
8594	B1B6
8595	B1B7
8596	B1B8
8597	B1B9
8598	B1BA
8599	B1BB
859A	B1BC
859B	B1BD
859C	B1BE
859D	B1BF
859E	B1C0
859F	B1C1
85A0	B1C2
85A1	B1C3
85A2	B1C5
85A3	B1C6
85A4	B1C7
85A5	B1C8
85A6	B1C9
85A7	B1CA
85A8	B1CB
85A9	B1B2
85AA	B1C4
85AB	B23D
85AC	B23F
85AD	B240
85AE	B241
85AF	B242
85B0	B243
85B1	B244
85B2	B245
85B3	B246
85B4	B247
85B5	B248
85B6	B249
85B7	B24A
85B8	B24B
85B9	B24C
85BA	B24D
85BB	B24E
85BC	B24F
85BD	B251
85BE	B252
85BF	B253
85C0	B254
85C1	B255
85C2	B256
85C3	B257
85C4	B23E
85C5	B250
85C6	B2E7
85C7	B2E9
85C8	B2EA
85C9	B2F0
85CA	B2F1
85CB	B2F6
85CC	B2FC
85CD	B2FD
85CE	B31D
85CF	B31F
85D0	B320
85D1	B321
85D2	B322
85D3	B323
85D4	B324
85D5	B325
85D6	B326
85D7	B327
85D8	B328
85D9	B329
85DA	B32A
85DB	B32B
85DC	B32C
85DD	B32D
85DE	B32E
85DF	B32F
85E0	B331
85E1	B332
85E2	B333
85E3	B334
85E4	B335
85E5	B336
85E6	B337
85E7	B31E
85E8	B330
85E9	B357
85EA	B359
85EB	B35A
85EC	B35D
85ED	B360
85EE	B361
85EF	B362
85F0	B363
85F1	B366
85F2	B36A
85F3	B36C
85F4	B36D
85F5	B38D
85F6	B38F
85F7	B391
85F8	B392
85F9	B393
85FA	B395
85FB	B396
85FC	B397
85FD	B398
85FE	B399
8641	B39A
8642	B39B
8643	B39C
8644	B39D
8645	B39E
8646	B39F
8647	B3A2
8648	B3A3
8649	B3A4
864A	B3A5
864B	B3A6
864C	B3A7
864D	B38E
864E	B3C7
864F	B3C9
8650	B3CA
8651	B3CD
8652	B3CF
8653	B3D1
8654	B3D2
8655	B3D3
8656	B3D6
8657	B3DA
8658	B3DC
8659	B3DE
865A	B3DF
8661	B3C6
8662	B3D8
8663	B435
8664	B437
8665	B438
8666	B439
8667	B43A
8668	B43B
8669	B43C
866A	B43D
866B	B43E
866C	B43F
866D	B440
866E	B441
866F	B442
8670	B443
8671	B444
8672	B445
8673	B446
8674	B447
8675	B449
8676	B44A
8677	B44B
8678	B44C
8679	B44D
867A	B44E
8681	B44F
8682	B436
8683	B448
8684	B453
8685	B455
8686	B456
8687	B457
8688	B459
8689	B45A
868A	B45B
868B	B45C
868C	B45D
868D	B45E
868E	B45F
868F	B462
8690	B466
8691	B467
8692	B468
8693	B469
8694	B46A
8695	B46B
8696	B452
8697	B464
8698	B4C1
8699	B4C3
869A	B4C5
869B	B4C6
869C	B4C7
869D	B4C9
869E	B4CA
869F	B4CB
86A0	B4CC
86A1	B4CD
86A2	B4CE
86A3	B4CF
86A4	B4D1
86A5	B4D2
86A6	B4D3
86A7	B4D6
86A8	B4D7
86A9	B4D8
86AA	B4D9
86AB	B4DA
86AC	B4DB
86AD	B4C2
86AE	B4D4
86AF	B4DF
86B0	B4E1
86B1	B4E2
86B2	B4E8
86B3	B4E9
