GB 18030	UCS	注释
00	0000
01	0001
02	0002
03	0003
04	0004
05	0005
06	0006
07	0007
08	0008
09	0009
0A	000A
0B	000B
0C	000C
0D	000D
0E	000E
0F	000F
10	0010
11	0011
12	0012
13	0013
14	0014
15	0015
16	0016
17	0017
18	0018
19	0019
1A	001A
1B	001B
1C	001C
1D	001D
1E	001E
1F	001F
20	0020
21	0021
22	0022
23	0023
24	0024
25	0025
26	0026
27	0027
28	0028
29	0029
2A	002A
2B	002B
2C	002C
2D	002D
2E	002E
2F	002F
30	0030
31	0031
32	0032
33	0033
34	0034
35	0035
36	0036
37	0037
38	0038
39	0039
3A	003A
3B	003B
3C	003C
3D	003D
3E	003E
3F	003F
40	0040
41	0041
42	0042
43	0043
44	0044
45	0045
46	0046
47	0047
48	0048
49	0049
4A	004A
4B	004B
4C	004C
4D	004D
4E	004E
4F	004F
50	0050
51	0051
52	0052
53	0053
54	0054
55	0055
56	0056
57	0057
58	0058
59	0059
5A	005A
5B	005B
5C	005C
5D	005D
5E	005E
5F	005F
60	0060
61	0061
62	0062
63	0063
64	0064
65	0065
66	0066
67	0067
68	0068
69	0069
6A	006A
6B	006B
6C	006C
6D	006D
6E	006E
6F	006F
70	0070
71	0071
72	0072
73	0073
74	0074
75	0075
76	0076
77	0077
78	0078
79	0079
7A	007A
7B	007B
7C	007C
7D	007D
7E	007E
7F	007F
80	20AC
8140	4E02
8141	4E04
8142	4E05
8143	4E06
8144	4E0F
8145	4E12
8146	4E17
8147	4E1F
8148	4E20
8149	4E21
814A	4E23
814B	4E26
814C	4E29
814D	4E2E
814E	4E2F
814F	4E31
8150	4E33
8151	4E35
8152	4E37
8153	4E3C
8154	4E40
8155	4E41
8156	4E42
8157	4E44
8158	4E46
8159	4E4A
815A	4E51
815B	4E55
815C	4E57
815D	4E5A
815E	4E5B
815F	4E62
8160	4E63
8161	4E64
8162	4E65
8163	4E67
8164	4E68
8165	4E6A
8166	4E6B
8167	4E6C
8168	4E6D
8169	4E6E
816A	4E6F
816B	4E72
816C	4E74
816D	4E75
816E	4E76
816F	4E77
8170	4E78
8171	4E79
8172	4E7A
8173	4E7B
8174	4E7C
8175	4E7D
8176	4E7F
8177	4E80
8178	4E81
8179	4E82
817A	4E83
817B	4E84
817C	4E85
817D	4E87
817E	4E8A
8180	4E90
8181	4E96
8182	4E97
8183	4E99
8184	4E9C
8185	4E9D
8186	4E9E
8187	4EA3
8188	4EAA
8189	4EAF
818A	4EB0
818B	4EB1
818C	4EB4
818D	4EB6
818E	4EB7
818F	4EB8
8190	4EB9
8191	4EBC
8192	4EBD
8193	4EBE
8194	4EC8
8195	4ECC
8196	4ECF
8197	4ED0
8198	4ED2
8199	4EDA
819A	4EDB
819B	4EDC
819C	4EE0
819D	4EE2
819E	4EE6
819F	4EE7
81A0	4EE9
81A1	4EED
81A2	4EEE
81A3	4EEF
81A4	4EF1
81A5	4EF4
81A6	4EF8
81A7	4EF9
81A8	4EFA
81A9	4EFC
81AA	4EFE
81AB	4F00
81AC	4F02
81AD	4F03
81AE	4F04
81AF	4F05
81B0	4F06
81B1	4F07
81B2	4F08
81B3	4F0B
81B4	4F0C
81B5	4F12
81B6	4F13
81B7	4F14
81B8	4F15
81B9	4F16
81BA	4F1C
81BB	4F1D
81BC	4F21
81BD	4F23
81BE	4F28
81BF	4F29
81C0	4F2C
81C1	4F2D
81C2	4F2E
81C3	4F31
81C4	4F33
81C5	4F35
81C6	4F37
81C7	4F39
81C8	4F3B
81C9	4F3E
81CA	4F3F
81CB	4F40
81CC	4F41
81CD	4F42
81CE	4F44
81CF	4F45
81D0	4F47
81D1	4F48
81D2	4F49
81D3	4F4A
81D4	4F4B
81D5	4F4C
81D6	4F52
81D7	4F54
81D8	4F56
81D9	4F61
81DA	4F62
81DB	4F66
81DC	4F68
81DD	4F6A
81DE	4F6B
81DF	4F6D
81E0	4F6E
81E1	4F71
81E2	4F72
81E3	4F75
81E4	4F77
81E5	4F78
81E6	4F79
81E7	4F7A
81E8	4F7D
81E9	4F80
81EA	4F81
81EB	4F82
81EC	4F85
81ED	4F86
81EE	4F87
81EF	4F8A
81F0	4F8C
81F1	4F8E
81F2	4F90
81F3	4F92
81F4	4F93
81F5	4F95
81F6	4F96
81F7	4F98
81F8	4F99
81F9	4F9A
81FA	4F9C
81FB	4F9E
81FC	4F9F
81FD	4FA1
81FE	4FA2
8240	4FA4
8241	4FAB
8242	4FAD
8243	4FB0
8244	4FB1
8245	4FB2
8246	4FB3
8247	4FB4
8248	4FB6
8249	4FB7
824A	4FB8
824B	4FB9
824C	4FBA
824D	4FBB
824E	4FBC
824F	4FBD
8250	4FBE
8251	4FC0
8252	4FC1
8253	4FC2
8254	4FC6
8255	4FC7
8256	4FC8
8257	4FC9
8258	4FCB
8259	4FCC
825A	4FCD
825B	4FD2
825C	4FD3
825D	4FD4
825E	4FD5
825F	4FD6
8260	4FD9
8261	4FDB
8262	4FE0
8263	4FE2
8264	4FE4
8265	4FE5
8266	4FE7
8267	4FEB
8268	4FEC
8269	4FF0
826A	4FF2
826B	4FF4
826C	4FF5
826D	4FF6
826E	4FF7
826F	4FF9
8270	4FFB
8271	4FFC
8272	4FFD
8273	4FFF
8274	5000
8275	5001
8276	5002
8277	5003
8278	5004
8279	5005
827A	5006
827B	5007
827C	5008
827D	5009
827E	500A
8280	500B
8281	500E
8282	5010
8283	5011
8284	5013
8285	5015
8286	5016
8287	5017
8288	501B
8289	501D
828A	501E
828B	5020
828C	5022
828D	5023
828E	5024
828F	5027
8290	502B
8291	502F
8292	5030
8293	5031
8294	5032
8295	5033
8296	5034
8297	5035
8298	5036
8299	5037
829A	5038
829B	5039
829C	503B
829D	503D
829E	503F
829F	5040
82A0	5041
82A1	5042
82A2	5044
82A3	5045
82A4	5046
82A5	5049
82A6	504A
82A7	504B
82A8	504D
82A9	5050
82AA	5051
82AB	5052
82AC	5053
82AD	5054
82AE	5056
82AF	5057
82B0	5058
82B1	5059
82B2	505B
82B3	505D
82B4	505E
82B5	505F
82B6	5060
82B7	5061
82B8	5062
82B9	5063
82BA	5064
82BB	5066
82BC	5067
82BD	5068
82BE	5069
82BF	506A
82C0	506B
82C1	506D
82C2	506E
82C3	506F
82C4	5070
82C5	5071
82C6	5072
82C7	5073
82C8	5074
82C9	5075
82CA	5078
82CB	5079
82CC	507A
82CD	507C
82CE	507D
82CF	5081
82D0	5082
82D1	5083
82D2	5084
82D3	5086
82D4	5087
82D5	5089
82D6	508A
82D7	508B
82D8	508C
82D9	508E
82DA	508F
82DB	5090
82DC	5091
82DD	5092
82DE	5093
82DF	5094
82E0	5095
82E1	5096
82E2	5097
82E3	5098
82E4	5099
82E5	509A
82E6	509B
82E7	509C
82E8	509D
82E9	509E
82EA	509F
82EB	50A0
82EC	50A1
82ED	50A2
82EE	50A4
82EF	50A6
82F0	50AA
82F1	50AB
82F2	50AD
82F3	50AE
82F4	50AF
82F5	50B0
82F6	50B1
82F7	50B3
82F8	50B4
82F9	50B5
82FA	50B6
82FB	50B7
82FC	50B8
82FD	50B9
82FE	50BC
8340	50BD
8341	50BE
8342	50BF
8343	50C0
8344	50C1
8345	50C2
8346	50C3
8347	50C4
8348	50C5
8349	50C6
834A	50C7
834B	50C8
834C	50C9
834D	50CA
834E	50CB
834F	50CC
8350	50CD
8351	50CE
8352	50D0
8353	50D1
8354	50D2
8355	50D3
8356	50D4
8357	50D5
8358	50D7
8359	50D8
835A	50D9
835B	50DB
835C	50DC
835D	50DD
835E	50DE
835F	50DF
8360	50E0
8361	50E1
8362	50E2
8363	50E3
8364	50E4
8365	50E5
8366	50E8
8367	50E9
8368	50EA
8369	50EB
836A	50EF
836B	50F0
836C	50F1
836D	50F2
836E	50F4
836F	50F6
8370	50F7
8371	50F8
8372	50F9
8373	50FA
8374	50FC
8375	50FD
8376	50FE
8377	50FF
8378	5100
8379	5101
837A	5102
837B	5103
837C	5104
837D	5105
837E	5108
8380	5109
8381	510A
8382	510C
8383	510D
8384	510E
8385	510F
8386	5110
8387	5111
8388	5113
8389	5114
838A	5115
838B	5116
838C	5117
838D	5118
838E	5119
838F	511A
8390	511B
8391	511C
8392	511D
8393	511E
8394	511F
8395	5120
8396	5122
8397	5123
8398	5124
8399	5125
839A	5126
839B	5127
839C	5128
839D	5129
839E	512A
839F	512B
83A0	512C
83A1	512D
83A2	512E
83A3	512F
83A4	5130
83A5	5131
83A6	5132
83A7	5133
83A8	5134
83A9	5135
83AA	5136
83AB	5137
83AC	5138
83AD	5139
83AE	513A
83AF	513B
83B0	513C
83B1	513D
83B2	513E
83B3	5142
83B4	5147
83B5	514A
83B6	514C
83B7	514E
83B8	514F
83B9	5150
83BA	5152
83BB	5153
83BC	5157
83BD	5158
83BE	5159
83BF	515B
83C0	515D
83C1	515E
83C2	515F
83C3	5160
83C4	5161
83C5	5163
83C6	5164
83C7	5166
83C8	5167
83C9	5169
83CA	516A
83CB	516F
83CC	5172
83CD	517A
83CE	517E
83CF	517F
83D0	5183
83D1	5184
83D2	5186
83D3	5187
83D4	518A
83D5	518B
83D6	518E
83D7	518F
83D8	5190
83D9	5191
83DA	5193
83DB	5194
83DC	5198
83DD	519A
83DE	519D
83DF	519E
83E0	519F
83E1	51A1
83E2	51A3
83E3	51A6
83E4	51A7
83E5	51A8
83E6	51A9
83E7	51AA
83E8	51AD
83E9	51AE
83EA	51B4
83EB	51B8
83EC	51B9
83ED	51BA
83EE	51BE
83EF	51BF
83F0	51C1
83F1	51C2
83F2	51C3
83F3	51C5
83F4	51C8
83F5	51CA
83F6	51CD
83F7	51CE
83F8	51D0
83F9	51D2
83FA	51D3
83FB	51D4
83FC	51D5
83FD	51D6
83FE	51D7
8440	51D8
8441	51D9
8442	51DA
8443	51DC
8444	51DE
8445	51DF
8446	51E2
8447	51E3
8448	51E5
8449	51E6
844A	51E7
844B	51E8
844C	51E9
844D	51EA
844E	51EC
844F	51EE
8450	51F1
8451	51F2
8452	51F4
8453	51F7
8454	51FE
8455	5204
8456	5205
8457	5209
8458	520B
8459	520C
845A	520F
845B	5210
845C	5213
845D	5214
845E	5215
845F	521C
8460	521E
8461	521F
8462	5221
8463	5222
8464	5223
8465	5225
8466	5226
8467	5227
8468	522A
8469	522C
846A	522F
846B	5231
846C	5232
846D	5234
846E	5235
846F	523C
8470	523E
8471	5244
8472	5245
8473	5246
8474	5247
8475	5248
8476	5249
8477	524B
8478	524E
8479	524F
847A	5252
847B	5253
847C	5255
847D	5257
847E	5258
8480	5259
8481	525A
8482	525B
8483	525D
8484	525F
8485	5260
8486	5262
8487	5263
8488	5264
8489	5266
848A	5268
848B	526B
848C	526C
848D	526D
848E	526E
848F	5270
8490	5271
8491	5273
8492	5274
8493	5275
8494	5276
8495	5277
8496	5278
8497	5279
8498	527A
8499	527B
849A	527C
849B	527E
849C	5280
849D	5283
849E	5284
849F	5285
84A0	5286
84A1	5287
84A2	5289
84A3	528A
84A4	528B
84A5	528C
84A6	528D
84A7	528E
84A8	528F
84A9	5291
84AA	5292
84AB	5294
84AC	5295
84AD	5296
84AE	5297
84AF	5298
84B0	5299
84B1	529A
84B2	529C
84B3	52A4
84B4	52A5
84B5	52A6
84B6	52A7
84B7	52AE
84B8	52AF
84B9	52B0
84BA	52B4
84BB	52B5
84BC	52B6
84BD	52B7
84BE	52B8
84BF	52B9
84C0	52BA
84C1	52BB
84C2	52BC
84C3	52BD
84C4	52C0
84C5	52C1
84C6	52C2
84C7	52C4
84C8	52C5
84C9	52C6
84CA	52C8
84CB	52CA
84CC	52CC
84CD	52CD
84CE	52CE
84CF	52CF
84D0	52D1
84D1	52D3
84D2	52D4
84D3	52D5
84D4	52D7
84D5	52D9
84D6	52DA
84D7	52DB
84D8	52DC
84D9	52DD
84DA	52DE
84DB	52E0
84DC	52E1
84DD	52E2
84DE	52E3
84DF	52E5
84E0	52E6
84E1	52E7
84E2	52E8
84E3	52E9
84E4	52EA
84E5	52EB
84E6	52EC
84E7	52ED
84E8	52EE
84E9	52EF
84EA	52F1
84EB	52F2
84EC	52F3
84ED	52F4
84EE	52F5
84EF	52F6
84F0	52F7
84F1	52F8
84F2	52FB
84F3	52FC
84F4	52FD
84F5	5301
84F6	5302
84F7	5303
84F8	5304
84F9	5307
84FA	5309
84FB	530A
84FC	530B
84FD	530C
84FE	530E
8540	5311
8541	5312
8542	5313
8543	5314
8544	5318
8545	531B
8546	531C
8547	531E
8548	531F
8549	5322
854A	5324
854B	5325
854C	5327
854D	5328
854E	5329
854F	532B
8550	532C
8551	532D
8552	532F
8553	5330
8554	5331
8555	5332
8556	5333
8557	5334
8558	5335
8559	5336
855A	5337
855B	5338
855C	533C
855D	533D
855E	5340
855F	5342
8560	5344
8561	5346
8562	534B
8563	534C
8564	534D
8565	5350
8566	5354
8567	5358
8568	5359
8569	535B
856A	535D
856B	5365
856C	5368
856D	536A
856E	536C
856F	536D
8570	5372
8571	5376
8572	5379
8573	537B
8574	537C
8575	537D
8576	537E
8577	5380
8578	5381
8579	5383
857A	5387
857B	5388
857C	538A
857D	538E
857E	538F
8580	5390
8581	5391
8582	5392
8583	5393
8584	5394
8585	5396
8586	5397
8587	5399
8588	539B
8589	539C
858A	539E
858B	53A0
858C	53A1
858D	53A4
858E	53A7
858F	53AA
8590	53AB
8591	53AC
8592	53AD
8593	53AF
8594	53B0
8595	53B1
8596	53B2
8597	53B3
8598	53B4
8599	53B5
859A	53B7
859B	53B8
859C	53B9
859D	53BA
859E	53BC
859F	53BD
85A0	53BE
85A1	53C0
85A2	53C3
85A3	53C4
85A4	53C5
85A5	53C6
85A6	53C7
85A7	53CE
85A8	53CF
85A9	53D0
85AA	53D2
85AB	53D3
85AC	53D5
85AD	53DA
85AE	53DC
85AF	53DD
85B0	53DE
85B1	53E1
85B2	53E2
85B3	53E7
85B4	53F4
85B5	53FA
85B6	53FE
85B7	53FF
85B8	5400
85B9	5402
85BA	5405
85BB	5407
85BC	540B
85BD	5414
85BE	5418
85BF	5419
85C0	541A
85C1	541C
85C2	5422
85C3	5424
85C4	5425
85C5	542A
85C6	5430
85C7	5433
85C8	5436
85C9	5437
85CA	543A
85CB	543D
85CC	543F
85CD	5441
85CE	5442
85CF	5444
85D0	5445
85D1	5447
85D2	5449
85D3	544C
85D4	544D
85D5	544E
85D6	544F
85D7	5451
85D8	545A
85D9	545D
85DA	545E
85DB	545F
85DC	5460
85DD	5461
85DE	5463
85DF	5465
85E0	5467
85E1	5469
85E2	546A
85E3	546B
85E4	546C
85E5	546D
85E6	546E
85E7	546F
85E8	5470
85E9	5474
85EA	5479
85EB	547A
85EC	547E
85ED	547F
85EE	5481
85EF	5483
85F0	5485
85F1	5487
85F2	5488
85F3	5489
85F4	548A
85F5	548D
85F6	5491
85F7	5493
85F8	5497
85F9	5498
85FA	549C
85FB	549E
85FC	549F
85FD	54A0
85FE	54A1
8640	54A2
8641	54A5
8642	54AE
8643	54B0
8644	54B2
8645	54B5
8646	54B6
8647	54B7
8648	54B9
8649	54BA
864A	54BC
864B	54BE
864C	54C3
864D	54C5
864E	54CA
864F	54CB
8650	54D6
8651	54D8
8652	54DB
8653	54E0
8654	54E1
8655	54E2
8656	54E3
8657	54E4
8658	54EB
8659	54EC
865A	54EF
865B	54F0
865C	54F1
865D	54F4
865E	54F5
865F	54F6
8660	54F7
8661	54F8
8662	54F9
8663	54FB
8664	54FE
8665	5500
8666	5502
8667	5503
8668	5504
8669	5505
866A	5508
866B	550A
866C	550B
866D	550C
866E	550D
866F	550E
8670	5512
8671	5513
8672	5515
8673	5516
8674	5517
8675	5518
8676	5519
8677	551A
8678	551C
8679	551D
867A	551E
867B	551F
867C	5521
867D	5525
867E	5526
8680	5528
8681	5529
8682	552B
8683	552D
8684	5532
8685	5534
8686	5535
8687	5536
8688	5538
8689	5539
868A	553A
868B	553B
868C	553D
868D	5540
868E	5542
868F	5545
8690	5547
8691	5548
8692	554B
8693	554C
8694	554D
8695	554E
8696	554F
8697	5551
8698	5552
8699	5553
869A	5554
869B	5557
869C	5558
869D	5559
869E	555A
869F	555B
86A0	555D
86A1	555E
86A2	555F
86A3	5560
86A4	5562
86A5	5563
86A6	5568
86A7	5569
86A8	556B
86A9	556F
86AA	5570
86AB	5571
86AC	5572
86AD	5573
86AE	5574
86AF	5579
86B0	557A
86B1	557D
86B2	557F
86B3	5585
86B4	5586
86B5	558C
86B6	558D
86B7	558E
86B8	5590
86B9	5592
86BA	5593
86BB	5595
86BC	5596
86BD	5597
86BE	559A
86BF	559B
86C0	559E
86C1	55A0
86C2	55A1
86C3	55A2
86C4	55A3
86C5	55A4
86C6	55A5
86C7	55A6
86C8	55A8
86C9	55A9
86CA	55AA
86CB	55AB
86CC	55AC
86CD	55AD
86CE	55AE
