UTF-32	UCS	注释
00000000	0000
00000001	0001
00000002	0002
00000003	0003
00000004	0004
00000005	0005
00000006	0006
00000007	0007
00000008	0008
00000009	0009
0000000A	000A
0000000B	000B
0000000C	000C
0000000D	000D
0000000E	000E
0000000F	000F
00000010	0010
00000011	0011
00000012	0012
00000013	0013
00000014	0014
00000015	0015
00000016	0016
00000017	0017
00000018	0018
00000019	0019
0000001A	001A
0000001B	001B
0000001C	001C
0000001D	001D
0000001E	001E
0000001F	001F
00000020	0020
00000021	0021
00000022	0022
00000023	0023
00000024	0024
00000025	0025
00000026	0026
00000027	0027
00000028	0028
00000029	0029
0000002A	002A
0000002B	002B
0000002C	002C
0000002D	002D
0000002E	002E
0000002F	002F
00000030	0030
00000031	0031
00000032	0032
00000033	0033
00000034	0034
00000035	0035
00000036	0036
00000037	0037
00000038	0038
00000039	0039
0000003A	003A
0000003B	003B
0000003C	003C
0000003D	003D
0000003E	003E
0000003F	003F
00000040	0040
00000041	0041
00000042	0042
00000043	0043
00000044	0044
00000045	0045
00000046	0046
00000047	0047
00000048	0048
00000049	0049
0000004A	004A
0000004B	004B
0000004C	004C
0000004D	004D
0000004E	004E
0000004F	004F
00000050	0050
00000051	0051
00000052	0052
00000053	0053
00000054	0054
00000055	0055
00000056	0056
00000057	0057
00000058	0058
00000059	0059
0000005A	005A
0000005B	005B
0000005C	005C
0000005D	005D
0000005E	005E
0000005F	005F
00000060	0060
00000061	0061
00000062	0062
00000063	0063
00000064	0064
00000065	0065
00000066	0066
00000067	0067
00000068	0068
00000069	0069
0000006A	006A
0000006B	006B
0000006C	006C
0000006D	006D
0000006E	006E
0000006F	006F
00000070	0070
00000071	0071
00000072	0072
00000073	0073
00000074	0074
00000075	0075
00000076	0076
00000077	0077
00000078	0078
00000079	0079
0000007A	007A
0000007B	007B
0000007C	007C
0000007D	007D
0000007E	007E
0000007F	007F
00000080	0080
00000081	0081
00000082	0082
00000083	0083
00000084	0084
00000085	0085
00000086	0086
00000087	0087
00000088	0088
00000089	0089
0000008A	008A
0000008B	008B
0000008C	008C
0000008D	008D
0000008E	008E
0000008F	008F
00000090	0090
00000091	0091
00000092	0092
00000093	0093
00000094	0094
00000095	0095
00000096	0096
00000097	0097
00000098	0098
00000099	0099
0000009A	009A
0000009B	009B
0000009C	009C
